Container, 0, 0, 0, 0.283212, 0.283212, 0
Link, 0, MPI_LINK, 0.000489, 0.001115, 0.000626, PTP, rank-90, rank-91, 90_91_-3334_10
Link, 0, MPI_LINK, 0.000489, 0.002905, 0.002416, PTP, rank-90, rank-92, 90_92_-3334_9
Link, 0, MPI_LINK, 0.002905, 0.003531, 0.000626, PTP, rank-92, rank-93, 92_93_-3334_21
Link, 0, MPI_LINK, 0.001115, 0.003615, 0.002500, PTP, rank-91, rank-92, 91_92_-3334_20
Link, 0, MPI_LINK, 0.000489, 0.003646, 0.003157, PTP, rank-90, rank-122, 90_122_-3334_5
Link, 0, MPI_LINK, 0.001115, 0.004241, 0.003126, PTP, rank-91, rank-93, 91_93_-3334_19
Link, 0, MPI_LINK, 0.003615, 0.004867, 0.001252, PTP, rank-92, rank-93, 92_93_-3334_31
Link, 0, MPI_LINK, 0.000489, 0.008784, 0.008295, PTP, rank-90, rank-98, 90_98_-3334_7
Link, 0, MPI_LINK, 0.008784, 0.009410, 0.000626, PTP, rank-98, rank-100, 98_100_-3334_49
Link, 0, MPI_LINK, 0.009410, 0.010036, 0.000626, PTP, rank-100, rank-101, 100_101_-3334_51
Link, 0, MPI_LINK, 0.000489, 0.016397, 0.015908, PTP, rank-90, rank-602, 90_602_-3334_1
Link, 0, MPI_LINK, 0.016397, 0.017023, 0.000626, PTP, rank-602, rank-604, 602_604_-3334_59
Link, 0, MPI_LINK, 0.000489, 0.028624, 0.028135, PTP, rank-90, rank-106, 90_106_-3334_6
Link, 0, MPI_LINK, 0.017023, 0.030701, 0.013678, PTP, rank-604, rank-605, 604_605_-3334_61
Link, 0, MPI_LINK, 0.016397, 0.030861, 0.014464, PTP, rank-602, rank-730, 602_730_-3334_53
Link, 0, MPI_LINK, 0.008784, 0.035308, 0.026524, PTP, rank-98, rank-102, 98_102_-3334_48
Link, 0, MPI_LINK, 0.016397, 0.038950, 0.022553, PTP, rank-602, rank-610, 602_610_-3334_57
Link, 0, MPI_LINK, 0.028624, 0.042725, 0.014101, PTP, rank-106, rank-108, 106_108_-3334_64
Link, 0, MPI_LINK, 0.042725, 0.043351, 0.000626, PTP, rank-108, rank-109, 108_109_-3334_78
Link, 0, MPI_LINK, 0.008784, 0.045612, 0.036828, PTP, rank-98, rank-99, 98_99_-3334_50
Link, 0, MPI_LINK, 0.000489, 0.046018, 0.045529, PTP, rank-90, rank-154, 90_154_-3334_4
Link, 0, MPI_LINK, 0.001115, 0.046322, 0.045207, PTP, rank-91, rank-99, 91_99_-3334_17
Link, 0, MPI_LINK, 0.046018, 0.046644, 0.000626, PTP, rank-154, rank-155, 154_155_-3334_84
Link, 0, MPI_LINK, 0.046322, 0.047149, 0.000827, PTP, rank-99, rank-100, 99_100_-3334_87
Link, 0, MPI_LINK, 0.046322, 0.047149, 0.000827, PTP, rank-99, rank-101, 99_101_-3334_86
Link, 0, MPI_LINK, 0.001115, 0.047270, 0.046155, PTP, rank-91, rank-155, 91_155_-3334_14
Link, 0, MPI_LINK, 0.003615, 0.047775, 0.044160, PTP, rank-92, rank-100, 92_100_-3334_28
Link, 0, MPI_LINK, 0.047149, 0.047775, 0.000626, PTP, rank-101, rank-102, 101_102_-3334_88
Link, 0, MPI_LINK, 0.047775, 0.048602, 0.000827, PTP, rank-100, rank-101, 100_101_-3334_97
Link, 0, MPI_LINK, 0.047775, 0.048602, 0.000827, PTP, rank-100, rank-102, 100_102_-3334_96
Link, 0, MPI_LINK, 0.004867, 0.049228, 0.044361, PTP, rank-93, rank-101, 93_101_-3334_44
Link, 0, MPI_LINK, 0.049228, 0.049854, 0.000626, PTP, rank-101, rank-102, 101_102_-3334_101
Link, 0, MPI_LINK, 0.000489, 0.050387, 0.049898, PTP, rank-90, rank-94, 90_94_-3334_8
Link, 0, MPI_LINK, 0.004241, 0.051231, 0.046990, PTP, rank-93, rank-94, 93_94_-3334_37
Link, 0, MPI_LINK, 0.050387, 0.051231, 0.000844, PTP, rank-94, rank-95, 94_95_-3334_103
