Container, 0, 0, 0, 0.016983, 0.016983, 0
Link, 0, MPI_LINK, 0.000007, 0.001615, 0.001608, PTP, rank-0, rank-1, 0_1_-3334_4
Link, 0, MPI_LINK, 0.000007, 0.001661, 0.001654, PTP, rank-0, rank-8, 0_8_-3334_1
Link, 0, MPI_LINK, 0.000007, 0.001682, 0.001675, PTP, rank-0, rank-2, 0_2_-3334_3
Link, 0, MPI_LINK, 0.000007, 0.001750, 0.001743, PTP, rank-0, rank-4, 0_4_-3334_2
Link, 0, MPI_LINK, 0.001661, 0.002287, 0.000626, PTP, rank-8, rank-9, 8_9_-3334_9
Link, 0, MPI_LINK, 0.001615, 0.002308, 0.000693, PTP, rank-1, rank-2, 1_2_-3334_8
Link, 0, MPI_LINK, 0.001682, 0.002308, 0.000626, PTP, rank-2, rank-3, 2_3_-3334_10
Link, 0, MPI_LINK, 0.001750, 0.002577, 0.000827, PTP, rank-4, rank-5, 4_5_-3334_12
Link, 0, MPI_LINK, 0.001750, 0.002577, 0.000827, PTP, rank-4, rank-6, 4_6_-3334_11
Link, 0, MPI_LINK, 0.002577, 0.003203, 0.000626, PTP, rank-6, rank-7, 6_7_-3334_17
Link, 0, MPI_LINK, 0.001615, 0.003285, 0.001670, PTP, rank-1, rank-9, 1_9_-3334_5
Link, 0, MPI_LINK, 0.001615, 0.003315, 0.001700, PTP, rank-1, rank-3, 1_3_-3334_7
Link, 0, MPI_LINK, 0.001615, 0.003502, 0.001887, PTP, rank-1, rank-5, 1_5_-3334_6
Link, 0, MPI_LINK, 0.003285, 0.003911, 0.000626, PTP, rank-9, rank-0, 9_0_-3334_18
Link, 0, MPI_LINK, 0.002308, 0.003941, 0.001633, PTP, rank-2, rank-3, 2_3_-3334_16
Link, 0, MPI_LINK, 0.003315, 0.003941, 0.000626, PTP, rank-3, rank-4, 3_4_-3334_19
Link, 0, MPI_LINK, 0.003502, 0.004329, 0.000827, PTP, rank-5, rank-6, 5_6_-3334_21
Link, 0, MPI_LINK, 0.003502, 0.004329, 0.000827, PTP, rank-5, rank-7, 5_7_-3334_20
Link, 0, MPI_LINK, 0.002308, 0.004839, 0.002531, PTP, rank-2, rank-0, 2_0_-3334_13
Link, 0, MPI_LINK, 0.002308, 0.004882, 0.002574, PTP, rank-2, rank-4, 2_4_-3334_15
Link, 0, MPI_LINK, 0.004329, 0.004955, 0.000626, PTP, rank-7, rank-8, 7_8_-3334_26
Link, 0, MPI_LINK, 0.002308, 0.005152, 0.002844, PTP, rank-2, rank-6, 2_6_-3334_14
Link, 0, MPI_LINK, 0.004839, 0.005465, 0.000626, PTP, rank-0, rank-1, 0_1_-3334_27
Link, 0, MPI_LINK, 0.003941, 0.005508, 0.001567, PTP, rank-3, rank-4, 3_4_-3334_25
Link, 0, MPI_LINK, 0.004882, 0.005508, 0.000626, PTP, rank-4, rank-5, 4_5_-3334_28
Link, 0, MPI_LINK, 0.005152, 0.005979, 0.000827, PTP, rank-6, rank-7, 6_7_-3334_30
Link, 0, MPI_LINK, 0.005152, 0.005979, 0.000827, PTP, rank-6, rank-8, 6_8_-3334_29
Link, 0, MPI_LINK, 0.003941, 0.006336, 0.002395, PTP, rank-3, rank-1, 3_1_-3334_22
Link, 0, MPI_LINK, 0.003941, 0.006399, 0.002458, PTP, rank-3, rank-5, 3_5_-3334_24
Link, 0, MPI_LINK, 0.005979, 0.006605, 0.000626, PTP, rank-8, rank-9, 8_9_-3334_35
Link, 0, MPI_LINK, 0.003941, 0.006726, 0.002785, PTP, rank-3, rank-7, 3_7_-3334_23
Link, 0, MPI_LINK, 0.006336, 0.006962, 0.000626, PTP, rank-1, rank-2, 1_2_-3334_36
Link, 0, MPI_LINK, 0.005508, 0.007025, 0.001517, PTP, rank-4, rank-5, 4_5_-3334_34
Link, 0, MPI_LINK, 0.006399, 0.007025, 0.000626, PTP, rank-5, rank-6, 5_6_-3334_37
Link, 0, MPI_LINK, 0.006726, 0.007553, 0.000827, PTP, rank-7, rank-8, 7_8_-3334_39
Link, 0, MPI_LINK, 0.006726, 0.007553, 0.000827, PTP, rank-7, rank-9, 7_9_-3334_38
Link, 0, MPI_LINK, 0.005508, 0.007782, 0.002274, PTP, rank-4, rank-2, 4_2_-3334_31
Link, 0, MPI_LINK, 0.005508, 0.007872, 0.002364, PTP, rank-4, rank-6, 4_6_-3334_33
Link, 0, MPI_LINK, 0.007553, 0.008179, 0.000626, PTP, rank-9, rank-0, 9_0_-3334_44
Link, 0, MPI_LINK, 0.005508, 0.008240, 0.002732, PTP, rank-4, rank-8, 4_8_-3334_32
Link, 0, MPI_LINK, 0.007782, 0.008408, 0.000626, PTP, rank-2, rank-3, 2_3_-3334_45
Link, 0, MPI_LINK, 0.007025, 0.008498, 0.001473, PTP, rank-5, rank-6, 5_6_-3334_43
Link, 0, MPI_LINK, 0.007872, 0.008498, 0.000626, PTP, rank-6, rank-7, 6_7_-3334_46
Link, 0, MPI_LINK, 0.008240, 0.009067, 0.000827, PTP, rank-8, rank-9, 8_9_-3334_48
Link, 0, MPI_LINK, 0.008240, 0.009067, 0.000827, PTP, rank-8, rank-0, 8_0_-3334_47
Link, 0, MPI_LINK, 0.007025, 0.009196, 0.002171, PTP, rank-5, rank-3, 5_3_-3334_40
Link, 0, MPI_LINK, 0.007025, 0.009309, 0.002284, PTP, rank-5, rank-7, 5_7_-3334_42
Link, 0, MPI_LINK, 0.009067, 0.009693, 0.000626, PTP, rank-0, rank-1, 0_1_-3334_53
Link, 0, MPI_LINK, 0.007025, 0.009716, 0.002691, PTP, rank-5, rank-9, 5_9_-3334_41
Link, 0, MPI_LINK, 0.009196, 0.009822, 0.000626, PTP, rank-3, rank-4, 3_4_-3334_54
Link, 0, MPI_LINK, 0.008498, 0.009935, 0.001437, PTP, rank-6, rank-7, 6_7_-3334_52
Link, 0, MPI_LINK, 0.009309, 0.009935, 0.000626, PTP, rank-7, rank-8, 7_8_-3334_55
Link, 0, MPI_LINK, 0.009716, 0.010543, 0.000827, PTP, rank-9, rank-0, 9_0_-3334_57
Link, 0, MPI_LINK, 0.009716, 0.010543, 0.000827, PTP, rank-9, rank-1, 9_1_-3334_56
Link, 0, MPI_LINK, 0.008498, 0.010600, 0.002102, PTP, rank-6, rank-4, 6_4_-3334_49
Link, 0, MPI_LINK, 0.008498, 0.010714, 0.002216, PTP, rank-6, rank-8, 6_8_-3334_51
Link, 0, MPI_LINK, 0.010543, 0.011169, 0.000626, PTP, rank-1, rank-2, 1_2_-3334_62
Link, 0, MPI_LINK, 0.008498, 0.011170, 0.002672, PTP, rank-6, rank-0, 6_0_-3334_50
Link, 0, MPI_LINK, 0.010600, 0.011226, 0.000626, PTP, rank-4, rank-5, 4_5_-3334_63
Link, 0, MPI_LINK, 0.009935, 0.011340, 0.001405, PTP, rank-7, rank-8, 7_8_-3334_61
Link, 0, MPI_LINK, 0.010714, 0.011340, 0.000626, PTP, rank-8, rank-9, 8_9_-3334_64
Link, 0, MPI_LINK, 0.011170, 0.011997, 0.000827, PTP, rank-0, rank-1, 0_1_-3334_66
Link, 0, MPI_LINK, 0.011170, 0.011997, 0.000827, PTP, rank-0, rank-2, 0_2_-3334_65
