Container, 0, 0, 0, 0.191274, 0.191274, 0
Link, 0, MPI_LINK, 0.002936, 0.006799, 0.003863, PTP, rank-90, rank-218, 90_218_-3334_3
Link, 0, MPI_LINK, 0.006799, 0.007425, 0.000626, PTP, rank-218, rank-220, 218_220_-3334_16
Link, 0, MPI_LINK, 0.002936, 0.017803, 0.014867, PTP, rank-90, rank-154, 90_154_-3334_4
Link, 0, MPI_LINK, 0.006799, 0.018194, 0.011395, PTP, rank-218, rank-222, 218_222_-3334_15
Link, 0, MPI_LINK, 0.017803, 0.018630, 0.000827, PTP, rank-154, rank-158, 154_158_-3334_22
Link, 0, MPI_LINK, 0.017803, 0.018630, 0.000827, PTP, rank-154, rank-162, 154_162_-3334_21
Link, 0, MPI_LINK, 0.006799, 0.018788, 0.011989, PTP, rank-218, rank-219, 218_219_-3334_17
Link, 0, MPI_LINK, 0.018630, 0.019256, 0.000626, PTP, rank-158, rank-160, 158_160_-3334_27
Link, 0, MPI_LINK, 0.002936, 0.019816, 0.016880, PTP, rank-90, rank-91, 90_91_-3334_10
Link, 0, MPI_LINK, 0.019816, 0.020526, 0.000710, PTP, rank-91, rank-219, 91_219_-3334_35
Link, 0, MPI_LINK, 0.018630, 0.020704, 0.002074, PTP, rank-162, rank-164, 162_164_-3334_30
Link, 0, MPI_LINK, 0.020526, 0.021152, 0.000626, PTP, rank-219, rank-220, 219_220_-3334_49
Link, 0, MPI_LINK, 0.020704, 0.021330, 0.000626, PTP, rank-164, rank-165, 164_165_-3334_50
Link, 0, MPI_LINK, 0.018630, 0.021543, 0.002913, PTP, rank-162, rank-163, 162_163_-3334_31
Link, 0, MPI_LINK, 0.002936, 0.023647, 0.020711, PTP, rank-90, rank-602, 90_602_-3334_1
Link, 0, MPI_LINK, 0.002936, 0.024674, 0.021738, PTP, rank-90, rank-122, 90_122_-3334_5
Link, 0, MPI_LINK, 0.023647, 0.025057, 0.001410, PTP, rank-602, rank-858, 602_858_-3334_51
Link, 0, MPI_LINK, 0.023647, 0.025057, 0.001410, PTP, rank-602, rank-603, 602_603_-3334_59
Link, 0, MPI_LINK, 0.023647, 0.025057, 0.001410, PTP, rank-602, rank-604, 602_604_-3334_58
Link, 0, MPI_LINK, 0.023647, 0.025164, 0.001517, PTP, rank-602, rank-634, 602_634_-3334_54
Link, 0, MPI_LINK, 0.025057, 0.025683, 0.000626, PTP, rank-604, rank-605, 604_605_-3334_66
Link, 0, MPI_LINK, 0.019816, 0.025766, 0.005950, PTP, rank-91, rank-603, 91_603_-3334_33
Link, 0, MPI_LINK, 0.025164, 0.025790, 0.000626, PTP, rank-634, rank-635, 634_635_-3334_78
Link, 0, MPI_LINK, 0.024674, 0.026762, 0.002088, PTP, rank-122, rank-123, 122_123_-3334_64
Link, 0, MPI_LINK, 0.024674, 0.026762, 0.002088, PTP, rank-122, rank-126, 122_126_-3334_62
Link, 0, MPI_LINK, 0.024674, 0.026762, 0.002088, PTP, rank-122, rank-130, 122_130_-3334_61
Link, 0, MPI_LINK, 0.025766, 0.026825, 0.001059, PTP, rank-603, rank-604, 603_604_-3334_87
Link, 0, MPI_LINK, 0.025766, 0.026825, 0.001059, PTP, rank-603, rank-605, 603_605_-3334_86
Link, 0, MPI_LINK, 0.025766, 0.026962, 0.001196, PTP, rank-603, rank-635, 603_635_-3334_82
Link, 0, MPI_LINK, 0.018630, 0.027226, 0.008596, PTP, rank-162, rank-166, 162_166_-3334_28
Link, 0, MPI_LINK, 0.026762, 0.027388, 0.000626, PTP, rank-130, rank-134, 130_134_-3334_89
Link, 0, MPI_LINK, 0.026762, 0.027388, 0.000626, PTP, rank-126, rank-128, 126_128_-3334_88
Link, 0, MPI_LINK, 0.025057, 0.027467, 0.002410, PTP, rank-858, rank-860, 858_860_-3334_72
Link, 0, MPI_LINK, 0.025057, 0.027467, 0.002410, PTP, rank-858, rank-862, 858_862_-3334_71
Link, 0, MPI_LINK, 0.025057, 0.027467, 0.002410, PTP, rank-858, rank-874, 858_874_-3334_69
Link, 0, MPI_LINK, 0.019816, 0.027471, 0.007655, PTP, rank-91, rank-123, 91_123_-3334_37
Link, 0, MPI_LINK, 0.025057, 0.027754, 0.002697, PTP, rank-858, rank-890, 858_890_-3334_68
Link, 0, MPI_LINK, 0.025057, 0.027754, 0.002697, PTP, rank-858, rank-922, 858_922_-3334_67
