State, rank-6, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-6, MPI_STATE, 0.002700, 0.003752, 0.001052, 0.000000, PMPI_Bcast
State, rank-6, MPI_STATE, 0.003752, 0.004378, 0.000626, 0.000000, PMPI_Bcast
State, rank-6, MPI_STATE, 0.004378, 0.005004, 0.000626, 0.000000, PMPI_Bcast
State, rank-6, MPI_STATE, 0.005004, 0.005004, 0.000000, 0.000000, PMPI_Bcast
State, rank-6, MPI_STATE, 0.005004, 0.010816, 0.005812, 0.000000, PMPI_Bcast
State, rank-6, MPI_STATE, 0.010816, 0.010816, 0.000000, 0.000000, PMPI_Finalize
State, rank-5, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-5, MPI_STATE, 0.002500, 0.003126, 0.000626, 0.000000, PMPI_Bcast
State, rank-5, MPI_STATE, 0.003126, 0.003752, 0.000626, 0.000000, PMPI_Bcast
State, rank-5, MPI_STATE, 0.003752, 0.003752, 0.000000, 0.000000, PMPI_Bcast
State, rank-5, MPI_STATE, 0.003752, 0.009363, 0.005611, 0.000000, PMPI_Bcast
State, rank-5, MPI_STATE, 0.009363, 0.010816, 0.001453, 0.000000, PMPI_Bcast
State, rank-5, MPI_STATE, 0.010816, 0.010816, 0.000000, 0.000000, PMPI_Finalize
State, rank-4, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-4, MPI_STATE, 0.001900, 0.002526, 0.000626, 0.000000, PMPI_Bcast
State, rank-4, MPI_STATE, 0.002526, 0.002526, 0.000000, 0.000000, PMPI_Bcast
State, rank-4, MPI_STATE, 0.002526, 0.007895, 0.005369, 0.000000, PMPI_Bcast
State, rank-4, MPI_STATE, 0.007895, 0.009363, 0.001468, 0.000000, PMPI_Bcast
State, rank-4, MPI_STATE, 0.009363, 0.009989, 0.000626, 0.000000, PMPI_Bcast
State, rank-4, MPI_STATE, 0.009989, 0.010816, 0.000827, 0.000000, PMPI_Finalize
State, rank-3, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-3, MPI_STATE, 0.001300, 0.001300, 0.000000, 0.000000, PMPI_Bcast
State, rank-3, MPI_STATE, 0.001300, 0.006429, 0.005129, 0.000000, PMPI_Bcast
State, rank-3, MPI_STATE, 0.006429, 0.007895, 0.001466, 0.000000, PMPI_Bcast
State, rank-3, MPI_STATE, 0.007895, 0.008521, 0.000626, 0.000000, PMPI_Bcast
State, rank-3, MPI_STATE, 0.008521, 0.009422, 0.000901, 0.000000, PMPI_Bcast
State, rank-3, MPI_STATE, 0.009422, 0.010816, 0.001394, 0.000000, PMPI_Finalize
State, rank-2, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-2, MPI_STATE, 0.000000, 0.004963, 0.004963, 0.000000, PMPI_Bcast
State, rank-2, MPI_STATE, 0.004963, 0.006429, 0.001466, 0.000000, PMPI_Bcast
State, rank-2, MPI_STATE, 0.006429, 0.007055, 0.000626, 0.000000, PMPI_Bcast
State, rank-2, MPI_STATE, 0.007055, 0.007980, 0.000925, 0.000000, PMPI_Bcast
State, rank-2, MPI_STATE, 0.007980, 0.008606, 0.000626, 0.000000, PMPI_Bcast
State, rank-2, MPI_STATE, 0.008606, 0.010816, 0.002210, 0.000000, PMPI_Finalize
State, rank-1, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-1, MPI_STATE, 0.003500, 0.004963, 0.001463, 0.000000, PMPI_Bcast
State, rank-1, MPI_STATE, 0.004963, 0.005589, 0.000626, 0.000000, PMPI_Bcast
State, rank-1, MPI_STATE, 0.005589, 0.006550, 0.000961, 0.000000, PMPI_Bcast
State, rank-1, MPI_STATE, 0.006550, 0.007176, 0.000626, 0.000000, PMPI_Bcast
State, rank-1, MPI_STATE, 0.007176, 0.007802, 0.000626, 0.000000, PMPI_Bcast
State, rank-1, MPI_STATE, 0.007802, 0.010816, 0.003014, 0.000000, PMPI_Finalize
State, rank-0, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-0, MPI_STATE, 0.003500, 0.004126, 0.000626, 0.000000, PMPI_Bcast
State, rank-0, MPI_STATE, 0.004126, 0.005139, 0.001013, 0.000000, PMPI_Bcast
State, rank-0, MPI_STATE, 0.005139, 0.005765, 0.000626, 0.000000, PMPI_Bcast
State, rank-0, MPI_STATE, 0.005765, 0.006391, 0.000626, 0.000000, PMPI_Bcast
State, rank-0, MPI_STATE, 0.006391, 0.006391, 0.000000, 0.000000, PMPI_Bcast
State, rank-0, MPI_STATE, 0.006391, 0.010816, 0.004425, 0.000000, PMPI_Finalize
