Container, 0, 0, 0, 0.016908, 0.016908, 0
Link, 0, MPI_LINK, 0.000056, 0.001370, 0.001314, PTP, rank-0, rank-1, 0_1_-3334_4
Link, 0, MPI_LINK, 0.000056, 0.001521, 0.001465, PTP, rank-0, rank-4, 0_4_-3334_2
Link, 0, MPI_LINK, 0.000056, 0.001563, 0.001507, PTP, rank-0, rank-2, 0_2_-3334_3
Link, 0, MPI_LINK, 0.000056, 0.001621, 0.001565, PTP, rank-0, rank-8, 0_8_-3334_1
Link, 0, MPI_LINK, 0.001370, 0.002189, 0.000819, PTP, rank-1, rank-2, 1_2_-3334_8
Link, 0, MPI_LINK, 0.001563, 0.002189, 0.000626, PTP, rank-2, rank-3, 2_3_-3334_11
Link, 0, MPI_LINK, 0.001621, 0.002247, 0.000626, PTP, rank-8, rank-9, 8_9_-3334_12
Link, 0, MPI_LINK, 0.001521, 0.002348, 0.000827, PTP, rank-4, rank-5, 4_5_-3334_10
Link, 0, MPI_LINK, 0.001521, 0.002348, 0.000827, PTP, rank-4, rank-6, 4_6_-3334_9
Link, 0, MPI_LINK, 0.002348, 0.002974, 0.000626, PTP, rank-6, rank-7, 6_7_-3334_17
Link, 0, MPI_LINK, 0.001370, 0.003228, 0.001858, PTP, rank-1, rank-3, 1_3_-3334_7
Link, 0, MPI_LINK, 0.001370, 0.003312, 0.001942, PTP, rank-1, rank-9, 1_9_-3334_5
Link, 0, MPI_LINK, 0.001370, 0.003382, 0.002012, PTP, rank-1, rank-5, 1_5_-3334_6
Link, 0, MPI_LINK, 0.002189, 0.003854, 0.001665, PTP, rank-2, rank-3, 2_3_-3334_16
Link, 0, MPI_LINK, 0.003228, 0.003854, 0.000626, PTP, rank-3, rank-4, 3_4_-3334_18
Link, 0, MPI_LINK, 0.003312, 0.003938, 0.000626, PTP, rank-9, rank-0, 9_0_-3334_19
Link, 0, MPI_LINK, 0.003382, 0.004209, 0.000827, PTP, rank-5, rank-6, 5_6_-3334_21
Link, 0, MPI_LINK, 0.003382, 0.004209, 0.000827, PTP, rank-5, rank-7, 5_7_-3334_20
Link, 0, MPI_LINK, 0.002189, 0.004778, 0.002589, PTP, rank-2, rank-4, 2_4_-3334_15
Link, 0, MPI_LINK, 0.004209, 0.004835, 0.000626, PTP, rank-7, rank-8, 7_8_-3334_26
Link, 0, MPI_LINK, 0.002189, 0.004899, 0.002710, PTP, rank-2, rank-0, 2_0_-3334_13
Link, 0, MPI_LINK, 0.002189, 0.005087, 0.002898, PTP, rank-2, rank-6, 2_6_-3334_14
Link, 0, MPI_LINK, 0.003854, 0.005404, 0.001550, PTP, rank-3, rank-4, 3_4_-3334_25
Link, 0, MPI_LINK, 0.004778, 0.005404, 0.000626, PTP, rank-4, rank-5, 4_5_-3334_27
Link, 0, MPI_LINK, 0.004899, 0.005525, 0.000626, PTP, rank-0, rank-1, 0_1_-3334_28
Link, 0, MPI_LINK, 0.005087, 0.005914, 0.000827, PTP, rank-6, rank-7, 6_7_-3334_30
Link, 0, MPI_LINK, 0.005087, 0.005914, 0.000827, PTP, rank-6, rank-8, 6_8_-3334_29
Link, 0, MPI_LINK, 0.003854, 0.006226, 0.002372, PTP, rank-3, rank-5, 3_5_-3334_24
Link, 0, MPI_LINK, 0.003854, 0.006400, 0.002546, PTP, rank-3, rank-1, 3_1_-3334_22
Link, 0, MPI_LINK, 0.005914, 0.006540, 0.000626, PTP, rank-8, rank-9, 8_9_-3334_35
Link, 0, MPI_LINK, 0.003854, 0.006671, 0.002817, PTP, rank-3, rank-7, 3_7_-3334_23
Link, 0, MPI_LINK, 0.005404, 0.006852, 0.001448, PTP, rank-4, rank-5, 4_5_-3334_34
Link, 0, MPI_LINK, 0.006226, 0.006852, 0.000626, PTP, rank-5, rank-6, 5_6_-3334_36
Link, 0, MPI_LINK, 0.006400, 0.007026, 0.000626, PTP, rank-1, rank-2, 1_2_-3334_37
Link, 0, MPI_LINK, 0.006671, 0.007498, 0.000827, PTP, rank-7, rank-8, 7_8_-3334_39
Link, 0, MPI_LINK, 0.006671, 0.007498, 0.000827, PTP, rank-7, rank-9, 7_9_-3334_38
Link, 0, MPI_LINK, 0.005404, 0.007603, 0.002199, PTP, rank-4, rank-6, 4_6_-3334_33
Link, 0, MPI_LINK, 0.005404, 0.007826, 0.002422, PTP, rank-4, rank-2, 4_2_-3334_31
Link, 0, MPI_LINK, 0.007498, 0.008124, 0.000626, PTP, rank-9, rank-0, 9_0_-3334_44
Link, 0, MPI_LINK, 0.005404, 0.008173, 0.002769, PTP, rank-4, rank-8, 4_8_-3334_32
Link, 0, MPI_LINK, 0.006852, 0.008229, 0.001377, PTP, rank-5, rank-6, 5_6_-3334_43
