State, rank-2, MPI_STATE, 0.005118, 0.005744, 0.000626, 0.000000, PMPI_Bcast
State, rank-2, MPI_STATE, 0.005744, 0.008052, 0.002308, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.008052, 0.008052, rank-1
State, rank-1, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-1, MPI_STATE, 0.000245, 0.001315, 0.001070, 0.000000, PMPI_Bcast
State, rank-1, MPI_STATE, 0.001315, 0.003236, 0.001921, 0.000000, PMPI_Bcast
State, rank-1, MPI_STATE, 0.003236, 0.003866, 0.000630, 0.000000, PMPI_Bcast
State, rank-1, MPI_STATE, 0.003866, 0.004492, 0.000626, 0.000000, PMPI_Bcast
State, rank-1, MPI_STATE, 0.004492, 0.004492, 0.000000, 0.000000, PMPI_Bcast
State, rank-1, MPI_STATE, 0.004492, 0.008052, 0.003560, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.008052, 0.008052, rank-0
State, rank-0, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-0, MPI_STATE, 0.000189, 0.001893, 0.001704, 0.000000, PMPI_Bcast
State, rank-0, MPI_STATE, 0.001893, 0.002610, 0.000717, 0.000000, PMPI_Bcast
State, rank-0, MPI_STATE, 0.002610, 0.003236, 0.000626, 0.000000, PMPI_Bcast
State, rank-0, MPI_STATE, 0.003236, 0.003236, 0.000000, 0.000000, PMPI_Bcast
State, rank-0, MPI_STATE, 0.003236, 0.008052, 0.004816, 0.000000, PMPI_Bcast
State, rank-0, MPI_STATE, 0.008052, 0.008052, 0.000000, 0.000000, PMPI_Finalize
