Container, 0, 0, 0, 0.016976, 0.016976, 0
Link, 0, MPI_LINK, 0.000007, 0.001193, 0.001186, PTP, rank-0, rank-4, 0_4_-3334_2
Link, 0, MPI_LINK, 0.000007, 0.001435, 0.001428, PTP, rank-0, rank-8, 0_8_-3334_1
Link, 0, MPI_LINK, 0.000007, 0.001504, 0.001497, PTP, rank-0, rank-1, 0_1_-3334_4
Link, 0, MPI_LINK, 0.000007, 0.001563, 0.001556, PTP, rank-0, rank-2, 0_2_-3334_3
Link, 0, MPI_LINK, 0.001193, 0.002020, 0.000827, PTP, rank-4, rank-5, 4_5_-3334_6
Link, 0, MPI_LINK, 0.001193, 0.002020, 0.000827, PTP, rank-4, rank-6, 4_6_-3334_5
Link, 0, MPI_LINK, 0.001435, 0.002061, 0.000626, PTP, rank-8, rank-9, 8_9_-3334_7
Link, 0, MPI_LINK, 0.001563, 0.002189, 0.000626, PTP, rank-2, rank-3, 2_3_-3334_12
Link, 0, MPI_LINK, 0.001504, 0.002189, 0.000685, PTP, rank-1, rank-2, 1_2_-3334_11
Link, 0, MPI_LINK, 0.002020, 0.002646, 0.000626, PTP, rank-6, rank-7, 6_7_-3334_13
Link, 0, MPI_LINK, 0.001504, 0.003068, 0.001564, PTP, rank-1, rank-5, 1_5_-3334_9
Link, 0, MPI_LINK, 0.001504, 0.003125, 0.001621, PTP, rank-1, rank-9, 1_9_-3334_8
Link, 0, MPI_LINK, 0.001504, 0.003214, 0.001710, PTP, rank-1, rank-3, 1_3_-3334_10
Link, 0, MPI_LINK, 0.003125, 0.003751, 0.000626, PTP, rank-9, rank-0, 9_0_-3334_20
Link, 0, MPI_LINK, 0.002189, 0.003840, 0.001651, PTP, rank-2, rank-3, 2_3_-3334_17
Link, 0, MPI_LINK, 0.003214, 0.003840, 0.000626, PTP, rank-3, rank-4, 3_4_-3334_21
Link, 0, MPI_LINK, 0.003068, 0.003895, 0.000827, PTP, rank-5, rank-6, 5_6_-3334_19
Link, 0, MPI_LINK, 0.003068, 0.003895, 0.000827, PTP, rank-5, rank-7, 5_7_-3334_18
Link, 0, MPI_LINK, 0.003895, 0.004521, 0.000626, PTP, rank-7, rank-8, 7_8_-3334_26
Link, 0, MPI_LINK, 0.002189, 0.004777, 0.002588, PTP, rank-2, rank-0, 2_0_-3334_14
Link, 0, MPI_LINK, 0.002189, 0.004906, 0.002717, PTP, rank-2, rank-4, 2_4_-3334_16
Link, 0, MPI_LINK, 0.002189, 0.004944, 0.002755, PTP, rank-2, rank-6, 2_6_-3334_15
Link, 0, MPI_LINK, 0.004777, 0.005403, 0.000626, PTP, rank-0, rank-1, 0_1_-3334_27
Link, 0, MPI_LINK, 0.003840, 0.005532, 0.001692, PTP, rank-3, rank-4, 3_4_-3334_25
Link, 0, MPI_LINK, 0.004906, 0.005532, 0.000626, PTP, rank-4, rank-5, 4_5_-3334_28
Link, 0, MPI_LINK, 0.004944, 0.005771, 0.000827, PTP, rank-6, rank-7, 6_7_-3334_30
Link, 0, MPI_LINK, 0.004944, 0.005771, 0.000827, PTP, rank-6, rank-8, 6_8_-3334_29
Link, 0, MPI_LINK, 0.003840, 0.006292, 0.002452, PTP, rank-3, rank-1, 3_1_-3334_22
Link, 0, MPI_LINK, 0.005771, 0.006397, 0.000626, PTP, rank-8, rank-9, 8_9_-3334_35
