Container, 0, 0, 0, 0.016613, 0.016613, 0
Link, 0, MPI_LINK, 0.000000, 0.001157, 0.001157, PTP, rank-0, rank-1, 0_1_-3334_4
Link, 0, MPI_LINK, 0.000000, 0.001157, 0.001157, PTP, rank-0, rank-4, 0_4_-3334_2
Link, 0, MPI_LINK, 0.000000, 0.001157, 0.001157, PTP, rank-0, rank-8, 0_8_-3334_1
Link, 0, MPI_LINK, 0.001157, 0.001783, 0.000626, PTP, rank-8, rank-9, 8_9_-3334_7
Link, 0, MPI_LINK, 0.001157, 0.001984, 0.000827, PTP, rank-4, rank-5, 4_5_-3334_9
Link, 0, MPI_LINK, 0.001157, 0.001984, 0.000827, PTP, rank-4, rank-6, 4_6_-3334_6
Link, 0, MPI_LINK, 0.000000, 0.002024, 0.002024, PTP, rank-0, rank-2, 0_2_-3334_3
Link, 0, MPI_LINK, 0.001984, 0.002610, 0.000626, PTP, rank-6, rank-7, 6_7_-3334_12
Link, 0, MPI_LINK, 0.002024, 0.002650, 0.000626, PTP, rank-2, rank-3, 2_3_-3334_13
Link, 0, MPI_LINK, 0.001157, 0.002687, 0.001530, PTP, rank-1, rank-9, 1_9_-3334_5
Link, 0, MPI_LINK, 0.001157, 0.003056, 0.001899, PTP, rank-1, rank-5, 1_5_-3334_8
Link, 0, MPI_LINK, 0.001157, 0.003096, 0.001939, PTP, rank-1, rank-2, 1_2_-3334_11
Link, 0, MPI_LINK, 0.002687, 0.003313, 0.000626, PTP, rank-9, rank-0, 9_0_-3334_14
Link, 0, MPI_LINK, 0.001157, 0.003416, 0.002259, PTP, rank-1, rank-3, 1_3_-3334_10
Link, 0, MPI_LINK, 0.003056, 0.003884, 0.000828, PTP, rank-5, rank-6, 5_6_-3334_16
Link, 0, MPI_LINK, 0.003056, 0.003884, 0.000828, PTP, rank-5, rank-7, 5_7_-3334_15
Link, 0, MPI_LINK, 0.003416, 0.004042, 0.000626, PTP, rank-3, rank-4, 3_4_-3334_21
Link, 0, MPI_LINK, 0.003096, 0.004117, 0.001021, PTP, rank-2, rank-0, 2_0_-3334_17
Link, 0, MPI_LINK, 0.003096, 0.004294, 0.001198, PTP, rank-2, rank-3, 2_3_-3334_20
Link, 0, MPI_LINK, 0.003884, 0.004510, 0.000626, PTP, rank-7, rank-8, 7_8_-3334_22
Link, 0, MPI_LINK, 0.004117, 0.004743, 0.000626, PTP, rank-0, rank-1, 0_1_-3334_23
Link, 0, MPI_LINK, 0.003096, 0.004761, 0.001665, PTP, rank-2, rank-6, 2_6_-3334_18
Link, 0, MPI_LINK, 0.003096, 0.004856, 0.001760, PTP, rank-2, rank-4, 2_4_-3334_19
Link, 0, MPI_LINK, 0.004856, 0.005482, 0.000626, PTP, rank-4, rank-5, 4_5_-3334_30
Link, 0, MPI_LINK, 0.004294, 0.005521, 0.001227, PTP, rank-3, rank-1, 3_1_-3334_24
Link, 0, MPI_LINK, 0.004761, 0.005588, 0.000827, PTP, rank-6, rank-7, 6_7_-3334_29
Link, 0, MPI_LINK, 0.004761, 0.005588, 0.000827, PTP, rank-6, rank-8, 6_8_-3334_28
Link, 0, MPI_LINK, 0.004294, 0.005634, 0.001340, PTP, rank-3, rank-4, 3_4_-3334_27
Link, 0, MPI_LINK, 0.005521, 0.006147, 0.000626, PTP, rank-1, rank-2, 1_2_-3334_31
Link, 0, MPI_LINK, 0.005588, 0.006214, 0.000626, PTP, rank-8, rank-9, 8_9_-3334_32
Link, 0, MPI_LINK, 0.004294, 0.006262, 0.001968, PTP, rank-3, rank-5, 3_5_-3334_26
Link, 0, MPI_LINK, 0.004294, 0.006369, 0.002075, PTP, rank-3, rank-7, 3_7_-3334_25
Link, 0, MPI_LINK, 0.006262, 0.006888, 0.000626, PTP, rank-5, rank-6, 5_6_-3334_37
Link, 0, MPI_LINK, 0.005634, 0.006923, 0.001289, PTP, rank-4, rank-2, 4_2_-3334_33
Link, 0, MPI_LINK, 0.005634, 0.007039, 0.001405, PTP, rank-4, rank-5, 4_5_-3334_36
Link, 0, MPI_LINK, 0.006369, 0.007196, 0.000827, PTP, rank-7, rank-8, 7_8_-3334_39
Link, 0, MPI_LINK, 0.006369, 0.007196, 0.000827, PTP, rank-7, rank-9, 7_9_-3334_38
Link, 0, MPI_LINK, 0.006923, 0.007549, 0.000626, PTP, rank-2, rank-3, 2_3_-3334_40
Link, 0, MPI_LINK, 0.005634, 0.007581, 0.001947, PTP, rank-4, rank-6, 4_6_-3334_35
Link, 0, MPI_LINK, 0.007196, 0.007822, 0.000626, PTP, rank-9, rank-0, 9_0_-3334_45
Link, 0, MPI_LINK, 0.005634, 0.007888, 0.002254, PTP, rank-4, rank-8, 4_8_-3334_34
Link, 0, MPI_LINK, 0.007581, 0.008207, 0.000626, PTP, rank-6, rank-7, 6_7_-3334_46
Link, 0, MPI_LINK, 0.007039, 0.008363, 0.001324, PTP, rank-5, rank-3, 5_3_-3334_41
Link, 0, MPI_LINK, 0.007039, 0.008403, 0.001364, PTP, rank-5, rank-6, 5_6_-3334_44
Link, 0, MPI_LINK, 0.007888, 0.008715, 0.000827, PTP, rank-8, rank-9, 8_9_-3334_48
Link, 0, MPI_LINK, 0.007888, 0.008715, 0.000827, PTP, rank-8, rank-0, 8_0_-3334_47
Link, 0, MPI_LINK, 0.007039, 0.008842, 0.001803, PTP, rank-5, rank-7, 5_7_-3334_43
Link, 0, MPI_LINK, 0.008363, 0.008989, 0.000626, PTP, rank-3, rank-4, 3_4_-3334_49
Link, 0, MPI_LINK, 0.008715, 0.009341, 0.000626, PTP, rank-0, rank-1, 0_1_-3334_54
Link, 0, MPI_LINK, 0.007039, 0.009341, 0.002302, PTP, rank-5, rank-9, 5_9_-3334_42
Link, 0, MPI_LINK, 0.008842, 0.009468, 0.000626, PTP, rank-7, rank-8, 7_8_-3334_55
Link, 0, MPI_LINK, 0.008403, 0.009604, 0.001201, PTP, rank-6, rank-7, 6_7_-3334_53
Link, 0, MPI_LINK, 0.008403, 0.009803, 0.001400, PTP, rank-6, rank-4, 6_4_-3334_50
Link, 0, MPI_LINK, 0.008403, 0.010145, 0.001742, PTP, rank-6, rank-8, 6_8_-3334_52
Link, 0, MPI_LINK, 0.009341, 0.010169, 0.000828, PTP, rank-9, rank-0, 9_0_-3334_57
Link, 0, MPI_LINK, 0.009341, 0.010169, 0.000828, PTP, rank-9, rank-1, 9_1_-3334_56
Link, 0, MPI_LINK, 0.009803, 0.010429, 0.000626, PTP, rank-4, rank-5, 4_5_-3334_62
Link, 0, MPI_LINK, 0.010145, 0.010771, 0.000626, PTP, rank-8, rank-9, 8_9_-3334_63
Link, 0, MPI_LINK, 0.010169, 0.010795, 0.000626, PTP, rank-1, rank-2, 1_2_-3334_64
Link, 0, MPI_LINK, 0.008403, 0.010795, 0.002392, PTP, rank-6, rank-0, 6_0_-3334_51
Link, 0, MPI_LINK, 0.009604, 0.010847, 0.001243, PTP, rank-7, rank-8, 7_8_-3334_61
