Container, 0, 0, 0, 0.017535, 0.017535, 0
Link, 0, MPI_LINK, 0.000049, 0.001401, 0.001352, PTP, rank-0, rank-4, 0_4_-3334_2
Link, 0, MPI_LINK, 0.000049, 0.001446, 0.001397, PTP, rank-0, rank-1, 0_1_-3334_4
Link, 0, MPI_LINK, 0.000049, 0.001614, 0.001565, PTP, rank-0, rank-8, 0_8_-3334_1
Link, 0, MPI_LINK, 0.000049, 0.001621, 0.001572, PTP, rank-0, rank-2, 0_2_-3334_3
Link, 0, MPI_LINK, 0.001401, 0.002228, 0.000827, PTP, rank-4, rank-5, 4_5_-3334_6
Link, 0, MPI_LINK, 0.001401, 0.002228, 0.000827, PTP, rank-4, rank-6, 4_6_-3334_5
Link, 0, MPI_LINK, 0.001614, 0.002240, 0.000626, PTP, rank-8, rank-9, 8_9_-3334_11
Link, 0, MPI_LINK, 0.001446, 0.002247, 0.000801, PTP, rank-1, rank-2, 1_2_-3334_10
Link, 0, MPI_LINK, 0.001621, 0.002247, 0.000626, PTP, rank-2, rank-3, 2_3_-3334_12
Link, 0, MPI_LINK, 0.002228, 0.002854, 0.000626, PTP, rank-6, rank-7, 6_7_-3334_13
Link, 0, MPI_LINK, 0.001446, 0.003369, 0.001923, PTP, rank-1, rank-5, 1_5_-3334_8
Link, 0, MPI_LINK, 0.001446, 0.003385, 0.001939, PTP, rank-1, rank-9, 1_9_-3334_7
Link, 0, MPI_LINK, 0.001446, 0.003390, 0.001944, PTP, rank-1, rank-3, 1_3_-3334_9
Link, 0, MPI_LINK, 0.003385, 0.004011, 0.000626, PTP, rank-9, rank-0, 9_0_-3334_20
Link, 0, MPI_LINK, 0.002247, 0.004016, 0.001769, PTP, rank-2, rank-3, 2_3_-3334_17
Link, 0, MPI_LINK, 0.003390, 0.004016, 0.000626, PTP, rank-3, rank-4, 3_4_-3334_21
Link, 0, MPI_LINK, 0.003369, 0.004196, 0.000827, PTP, rank-5, rank-6, 5_6_-3334_19
Link, 0, MPI_LINK, 0.003369, 0.004196, 0.000827, PTP, rank-5, rank-7, 5_7_-3334_18
Link, 0, MPI_LINK, 0.004196, 0.004822, 0.000626, PTP, rank-7, rank-8, 7_8_-3334_26
Link, 0, MPI_LINK, 0.002247, 0.005074, 0.002827, PTP, rank-2, rank-0, 2_0_-3334_14
Link, 0, MPI_LINK, 0.002247, 0.005080, 0.002833, PTP, rank-2, rank-4, 2_4_-3334_16
Link, 0, MPI_LINK, 0.002247, 0.005205, 0.002958, PTP, rank-2, rank-6, 2_6_-3334_15
Link, 0, MPI_LINK, 0.005074, 0.005699, 0.000625, PTP, rank-0, rank-1, 0_1_-3334_27
Link, 0, MPI_LINK, 0.004016, 0.005706, 0.001690, PTP, rank-3, rank-4, 3_4_-3334_25
Link, 0, MPI_LINK, 0.005080, 0.005706, 0.000626, PTP, rank-4, rank-5, 4_5_-3334_28
Link, 0, MPI_LINK, 0.005205, 0.006032, 0.000827, PTP, rank-6, rank-7, 6_7_-3334_30
Link, 0, MPI_LINK, 0.005205, 0.006032, 0.000827, PTP, rank-6, rank-8, 6_8_-3334_29
Link, 0, MPI_LINK, 0.006032, 0.006658, 0.000626, PTP, rank-8, rank-9, 8_9_-3334_35
Link, 0, MPI_LINK, 0.004016, 0.006686, 0.002670, PTP, rank-3, rank-1, 3_1_-3334_22
Link, 0, MPI_LINK, 0.004016, 0.006695, 0.002679, PTP, rank-3, rank-5, 3_5_-3334_24
Link, 0, MPI_LINK, 0.004016, 0.006922, 0.002906, PTP, rank-3, rank-7, 3_7_-3334_23
Link, 0, MPI_LINK, 0.006686, 0.007312, 0.000626, PTP, rank-1, rank-2, 1_2_-3334_36
Link, 0, MPI_LINK, 0.005706, 0.007321, 0.001615, PTP, rank-4, rank-5, 4_5_-3334_34
Link, 0, MPI_LINK, 0.006695, 0.007321, 0.000626, PTP, rank-5, rank-6, 5_6_-3334_37
Link, 0, MPI_LINK, 0.006922, 0.007749, 0.000827, PTP, rank-7, rank-8, 7_8_-3334_39
Link, 0, MPI_LINK, 0.006922, 0.007749, 0.000827, PTP, rank-7, rank-9, 7_9_-3334_38
Link, 0, MPI_LINK, 0.005706, 0.008244, 0.002538, PTP, rank-4, rank-2, 4_2_-3334_31
Link, 0, MPI_LINK, 0.005706, 0.008258, 0.002552, PTP, rank-4, rank-6, 4_6_-3334_33
Link, 0, MPI_LINK, 0.007749, 0.008375, 0.000626, PTP, rank-9, rank-0, 9_0_-3334_44
Link, 0, MPI_LINK, 0.005706, 0.008555, 0.002849, PTP, rank-4, rank-8, 4_8_-3334_32
Link, 0, MPI_LINK, 0.008244, 0.008870, 0.000626, PTP, rank-2, rank-3, 2_3_-3334_45
Link, 0, MPI_LINK, 0.007321, 0.008884, 0.001563, PTP, rank-5, rank-6, 5_6_-3334_43
Link, 0, MPI_LINK, 0.008258, 0.008884, 0.000626, PTP, rank-6, rank-7, 6_7_-3334_46
Link, 0, MPI_LINK, 0.008555, 0.009382, 0.000827, PTP, rank-8, rank-9, 8_9_-3334_48
Link, 0, MPI_LINK, 0.008555, 0.009382, 0.000827, PTP, rank-8, rank-0, 8_0_-3334_47
Link, 0, MPI_LINK, 0.007321, 0.009763, 0.002442, PTP, rank-5, rank-3, 5_3_-3334_40
Link, 0, MPI_LINK, 0.007321, 0.009782, 0.002461, PTP, rank-5, rank-7, 5_7_-3334_42
Link, 0, MPI_LINK, 0.009382, 0.010008, 0.000626, PTP, rank-0, rank-1, 0_1_-3334_53
Link, 0, MPI_LINK, 0.007321, 0.010128, 0.002807, PTP, rank-5, rank-9, 5_9_-3334_41
Link, 0, MPI_LINK, 0.009763, 0.010389, 0.000626, PTP, rank-3, rank-4, 3_4_-3334_54
Link, 0, MPI_LINK, 0.008884, 0.010408, 0.001524, PTP, rank-6, rank-7, 6_7_-3334_52
Link, 0, MPI_LINK, 0.009782, 0.010408, 0.000626, PTP, rank-7, rank-8, 7_8_-3334_55
Link, 0, MPI_LINK, 0.010128, 0.010956, 0.000828, PTP, rank-9, rank-0, 9_0_-3334_57
Link, 0, MPI_LINK, 0.010128, 0.010956, 0.000828, PTP, rank-9, rank-1, 9_1_-3334_56
Link, 0, MPI_LINK, 0.008884, 0.011249, 0.002365, PTP, rank-6, rank-4, 6_4_-3334_49
