Container, 0, 0, 0, 0.017702, 0.017702, 0
Link, 0, MPI_LINK, 0.000056, 0.001205, 0.001149, PTP, rank-0, rank-4, 0_4_-3334_2
Link, 0, MPI_LINK, 0.000056, 0.001401, 0.001345, PTP, rank-0, rank-1, 0_1_-3334_4
Link, 0, MPI_LINK, 0.000056, 0.001561, 0.001505, PTP, rank-0, rank-8, 0_8_-3334_1
Link, 0, MPI_LINK, 0.000056, 0.001571, 0.001515, PTP, rank-0, rank-2, 0_2_-3334_3
Link, 0, MPI_LINK, 0.001205, 0.002032, 0.000827, PTP, rank-4, rank-5, 4_5_-3334_6
Link, 0, MPI_LINK, 0.001205, 0.002032, 0.000827, PTP, rank-4, rank-6, 4_6_-3334_5
Link, 0, MPI_LINK, 0.001561, 0.002187, 0.000626, PTP, rank-8, rank-9, 8_9_-3334_11
Link, 0, MPI_LINK, 0.001401, 0.002197, 0.000796, PTP, rank-1, rank-2, 1_2_-3334_10
Link, 0, MPI_LINK, 0.001571, 0.002197, 0.000626, PTP, rank-2, rank-3, 2_3_-3334_12
Link, 0, MPI_LINK, 0.002032, 0.002658, 0.000626, PTP, rank-6, rank-7, 6_7_-3334_13
Link, 0, MPI_LINK, 0.001401, 0.003004, 0.001603, PTP, rank-1, rank-5, 1_5_-3334_8
Link, 0, MPI_LINK, 0.001401, 0.003228, 0.001827, PTP, rank-1, rank-9, 1_9_-3334_7
Link, 0, MPI_LINK, 0.001401, 0.003234, 0.001833, PTP, rank-1, rank-3, 1_3_-3334_9
Link, 0, MPI_LINK, 0.003004, 0.003831, 0.000827, PTP, rank-5, rank-6, 5_6_-3334_19
Link, 0, MPI_LINK, 0.003004, 0.003831, 0.000827, PTP, rank-5, rank-7, 5_7_-3334_18
Link, 0, MPI_LINK, 0.003228, 0.003854, 0.000626, PTP, rank-9, rank-0, 9_0_-3334_20
Link, 0, MPI_LINK, 0.002197, 0.003860, 0.001663, PTP, rank-2, rank-3, 2_3_-3334_17
Link, 0, MPI_LINK, 0.003234, 0.003860, 0.000626, PTP, rank-3, rank-4, 3_4_-3334_21
Link, 0, MPI_LINK, 0.003831, 0.004457, 0.000626, PTP, rank-7, rank-8, 7_8_-3334_22
Link, 0, MPI_LINK, 0.002197, 0.004958, 0.002761, PTP, rank-2, rank-6, 2_6_-3334_15
Link, 0, MPI_LINK, 0.002197, 0.004991, 0.002794, PTP, rank-2, rank-0, 2_0_-3334_14
Link, 0, MPI_LINK, 0.002197, 0.004996, 0.002799, PTP, rank-2, rank-4, 2_4_-3334_16
Link, 0, MPI_LINK, 0.004991, 0.005617, 0.000626, PTP, rank-0, rank-1, 0_1_-3334_29
Link, 0, MPI_LINK, 0.003860, 0.005622, 0.001762, PTP, rank-3, rank-4, 3_4_-3334_26
Link, 0, MPI_LINK, 0.004996, 0.005622, 0.000626, PTP, rank-4, rank-5, 4_5_-3334_30
Link, 0, MPI_LINK, 0.004958, 0.005786, 0.000828, PTP, rank-6, rank-7, 6_7_-3334_28
Link, 0, MPI_LINK, 0.004958, 0.005786, 0.000828, PTP, rank-6, rank-8, 6_8_-3334_27
Link, 0, MPI_LINK, 0.005786, 0.006412, 0.000626, PTP, rank-8, rank-9, 8_9_-3334_35
Link, 0, MPI_LINK, 0.003860, 0.006687, 0.002827, PTP, rank-3, rank-1, 3_1_-3334_23
Link, 0, MPI_LINK, 0.003860, 0.006694, 0.002834, PTP, rank-3, rank-5, 3_5_-3334_25
Link, 0, MPI_LINK, 0.003860, 0.006807, 0.002947, PTP, rank-3, rank-7, 3_7_-3334_24
Link, 0, MPI_LINK, 0.006687, 0.007313, 0.000626, PTP, rank-1, rank-2, 1_2_-3334_36
Link, 0, MPI_LINK, 0.005622, 0.007320, 0.001698, PTP, rank-4, rank-5, 4_5_-3334_34
Link, 0, MPI_LINK, 0.006694, 0.007320, 0.000626, PTP, rank-5, rank-6, 5_6_-3334_37
Link, 0, MPI_LINK, 0.006807, 0.007635, 0.000828, PTP, rank-7, rank-8, 7_8_-3334_39
Link, 0, MPI_LINK, 0.006807, 0.007635, 0.000828, PTP, rank-7, rank-9, 7_9_-3334_38
Link, 0, MPI_LINK, 0.007635, 0.008261, 0.000626, PTP, rank-9, rank-0, 9_0_-3334_44
Link, 0, MPI_LINK, 0.005622, 0.008305, 0.002683, PTP, rank-4, rank-2, 4_2_-3334_31
Link, 0, MPI_LINK, 0.005622, 0.008314, 0.002692, PTP, rank-4, rank-6, 4_6_-3334_33
Link, 0, MPI_LINK, 0.005622, 0.008533, 0.002911, PTP, rank-4, rank-8, 4_8_-3334_32
