Container, 0, 0, 0, 0.017146, 0.017146, 0
Link, 0, MPI_LINK, 0.000203, 0.001645, 0.001442, PTP, rank-0, rank-1, 0_1_-3334_4
Link, 0, MPI_LINK, 0.000203, 0.001721, 0.001518, PTP, rank-0, rank-2, 0_2_-3334_3
Link, 0, MPI_LINK, 0.000203, 0.001728, 0.001525, PTP, rank-0, rank-8, 0_8_-3334_1
Link, 0, MPI_LINK, 0.000203, 0.001805, 0.001602, PTP, rank-0, rank-4, 0_4_-3334_2
Link, 0, MPI_LINK, 0.001645, 0.002347, 0.000702, PTP, rank-1, rank-2, 1_2_-3334_8
Link, 0, MPI_LINK, 0.001721, 0.002347, 0.000626, PTP, rank-2, rank-3, 2_3_-3334_9
Link, 0, MPI_LINK, 0.001728, 0.002354, 0.000626, PTP, rank-8, rank-9, 8_9_-3334_10
Link, 0, MPI_LINK, 0.001805, 0.002633, 0.000828, PTP, rank-4, rank-5, 4_5_-3334_12
Link, 0, MPI_LINK, 0.001805, 0.002633, 0.000828, PTP, rank-4, rank-6, 4_6_-3334_11
Link, 0, MPI_LINK, 0.002633, 0.003259, 0.000626, PTP, rank-6, rank-7, 6_7_-3334_17
Link, 0, MPI_LINK, 0.001645, 0.003356, 0.001711, PTP, rank-1, rank-3, 1_3_-3334_7
Link, 0, MPI_LINK, 0.001645, 0.003366, 0.001721, PTP, rank-1, rank-9, 1_9_-3334_5
Link, 0, MPI_LINK, 0.001645, 0.003560, 0.001915, PTP, rank-1, rank-5, 1_5_-3334_6
Link, 0, MPI_LINK, 0.002347, 0.003982, 0.001635, PTP, rank-2, rank-3, 2_3_-3334_16
Link, 0, MPI_LINK, 0.003356, 0.003982, 0.000626, PTP, rank-3, rank-4, 3_4_-3334_18
Link, 0, MPI_LINK, 0.003366, 0.003992, 0.000626, PTP, rank-9, rank-0, 9_0_-3334_19
Link, 0, MPI_LINK, 0.003560, 0.004387, 0.000827, PTP, rank-5, rank-6, 5_6_-3334_21
Link, 0, MPI_LINK, 0.003560, 0.004387, 0.000827, PTP, rank-5, rank-7, 5_7_-3334_20
Link, 0, MPI_LINK, 0.002347, 0.004930, 0.002583, PTP, rank-2, rank-4, 2_4_-3334_15
Link, 0, MPI_LINK, 0.002347, 0.004944, 0.002597, PTP, rank-2, rank-0, 2_0_-3334_13
Link, 0, MPI_LINK, 0.004387, 0.005013, 0.000626, PTP, rank-7, rank-8, 7_8_-3334_26
Link, 0, MPI_LINK, 0.002347, 0.005219, 0.002872, PTP, rank-2, rank-6, 2_6_-3334_14
Link, 0, MPI_LINK, 0.003982, 0.005556, 0.001574, PTP, rank-3, rank-4, 3_4_-3334_25
Link, 0, MPI_LINK, 0.004930, 0.005556, 0.000626, PTP, rank-4, rank-5, 4_5_-3334_27
Link, 0, MPI_LINK, 0.004944, 0.005570, 0.000626, PTP, rank-0, rank-1, 0_1_-3334_28
Link, 0, MPI_LINK, 0.005219, 0.006046, 0.000827, PTP, rank-6, rank-7, 6_7_-3334_30
Link, 0, MPI_LINK, 0.005219, 0.006046, 0.000827, PTP, rank-6, rank-8, 6_8_-3334_29
Link, 0, MPI_LINK, 0.003982, 0.006458, 0.002476, PTP, rank-3, rank-5, 3_5_-3334_24
Link, 0, MPI_LINK, 0.003982, 0.006479, 0.002497, PTP, rank-3, rank-1, 3_1_-3334_22
Link, 0, MPI_LINK, 0.006046, 0.006672, 0.000626, PTP, rank-8, rank-9, 8_9_-3334_35
Link, 0, MPI_LINK, 0.003982, 0.006810, 0.002828, PTP, rank-3, rank-7, 3_7_-3334_23
Link, 0, MPI_LINK, 0.005556, 0.007084, 0.001528, PTP, rank-4, rank-5, 4_5_-3334_34
Link, 0, MPI_LINK, 0.006458, 0.007084, 0.000626, PTP, rank-5, rank-6, 5_6_-3334_36
Link, 0, MPI_LINK, 0.006479, 0.007105, 0.000626, PTP, rank-1, rank-2, 1_2_-3334_37
Link, 0, MPI_LINK, 0.006810, 0.007637, 0.000827, PTP, rank-7, rank-8, 7_8_-3334_39
Link, 0, MPI_LINK, 0.006810, 0.007637, 0.000827, PTP, rank-7, rank-9, 7_9_-3334_38
Link, 0, MPI_LINK, 0.005556, 0.007951, 0.002395, PTP, rank-4, rank-6, 4_6_-3334_33
Link, 0, MPI_LINK, 0.005556, 0.007981, 0.002425, PTP, rank-4, rank-2, 4_2_-3334_31
Link, 0, MPI_LINK, 0.007637, 0.008263, 0.000626, PTP, rank-9, rank-0, 9_0_-3334_44
