Container, 0, 0, 0, 0.016271, 0.016271, 0
Link, 0, MPI_LINK, 0.000000, 0.000827, 0.000827, PTP, rank-0, rank-1, 0_1_-3334_4
Link, 0, MPI_LINK, 0.000000, 0.000827, 0.000827, PTP, rank-0, rank-2, 0_2_-3334_3
Link, 0, MPI_LINK, 0.000827, 0.001453, 0.000626, PTP, rank-1, rank-2, 1_2_-3334_9
Link, 0, MPI_LINK, 0.000827, 0.001453, 0.000626, PTP, rank-2, rank-3, 2_3_-3334_6
Link, 0, MPI_LINK, 0.000000, 0.001526, 0.001526, PTP, rank-0, rank-8, 0_8_-3334_1
Link, 0, MPI_LINK, 0.000000, 0.001526, 0.001526, PTP, rank-0, rank-4, 0_4_-3334_2
Link, 0, MPI_LINK, 0.000827, 0.002079, 0.001252, PTP, rank-1, rank-3, 1_3_-3334_8
Link, 0, MPI_LINK, 0.001526, 0.002152, 0.000626, PTP, rank-8, rank-9, 8_9_-3334_14
Link, 0, MPI_LINK, 0.001526, 0.002356, 0.000830, PTP, rank-4, rank-5, 4_5_-3334_16
Link, 0, MPI_LINK, 0.001526, 0.002356, 0.000830, PTP, rank-4, rank-6, 4_6_-3334_15
Link, 0, MPI_LINK, 0.001453, 0.002705, 0.001252, PTP, rank-2, rank-3, 2_3_-3334_13
Link, 0, MPI_LINK, 0.002079, 0.002740, 0.000661, PTP, rank-3, rank-4, 3_4_-3334_17
Link, 0, MPI_LINK, 0.000827, 0.002890, 0.002063, PTP, rank-1, rank-9, 1_9_-3334_5
Link, 0, MPI_LINK, 0.002356, 0.002982, 0.000626, PTP, rank-6, rank-7, 6_7_-3334_18
Link, 0, MPI_LINK, 0.000827, 0.003094, 0.002267, PTP, rank-1, rank-5, 1_5_-3334_7
Link, 0, MPI_LINK, 0.001453, 0.003366, 0.001913, PTP, rank-2, rank-4, 2_4_-3334_12
Link, 0, MPI_LINK, 0.002890, 0.003516, 0.000626, PTP, rank-9, rank-0, 9_0_-3334_23
Link, 0, MPI_LINK, 0.003094, 0.003931, 0.000837, PTP, rank-5, rank-6, 5_6_-3334_25
Link, 0, MPI_LINK, 0.003094, 0.003931, 0.000837, PTP, rank-5, rank-7, 5_7_-3334_24
Link, 0, MPI_LINK, 0.002705, 0.003992, 0.001287, PTP, rank-3, rank-4, 3_4_-3334_22
Link, 0, MPI_LINK, 0.003366, 0.004120, 0.000754, PTP, rank-4, rank-5, 4_5_-3334_26
Link, 0, MPI_LINK, 0.001453, 0.004161, 0.002708, PTP, rank-2, rank-0, 2_0_-3334_10
Link, 0, MPI_LINK, 0.003931, 0.004557, 0.000626, PTP, rank-7, rank-8, 7_8_-3334_27
Link, 0, MPI_LINK, 0.001453, 0.004576, 0.003123, PTP, rank-2, rank-6, 2_6_-3334_11
Link, 0, MPI_LINK, 0.002705, 0.004746, 0.002041, PTP, rank-3, rank-5, 3_5_-3334_21
Link, 0, MPI_LINK, 0.004161, 0.004787, 0.000626, PTP, rank-0, rank-1, 0_1_-3334_32
Link, 0, MPI_LINK, 0.003992, 0.005372, 0.001380, PTP, rank-4, rank-5, 4_5_-3334_31
Link, 0, MPI_LINK, 0.002705, 0.005413, 0.002708, PTP, rank-3, rank-1, 3_1_-3334_19
Link, 0, MPI_LINK, 0.004576, 0.005416, 0.000840, PTP, rank-6, rank-7, 6_7_-3334_34
Link, 0, MPI_LINK, 0.004576, 0.005416, 0.000840, PTP, rank-6, rank-8, 6_8_-3334_33
Link, 0, MPI_LINK, 0.004746, 0.005534, 0.000788, PTP, rank-5, rank-6, 5_6_-3334_35
Link, 0, MPI_LINK, 0.005413, 0.006039, 0.000626, PTP, rank-1, rank-2, 1_2_-3334_40
Link, 0, MPI_LINK, 0.005416, 0.006042, 0.000626, PTP, rank-8, rank-9, 8_9_-3334_41
Link, 0, MPI_LINK, 0.002705, 0.006042, 0.003337, PTP, rank-3, rank-7, 3_7_-3334_20
Link, 0, MPI_LINK, 0.003992, 0.006160, 0.002168, PTP, rank-4, rank-6, 4_6_-3334_30
Link, 0, MPI_LINK, 0.003992, 0.006665, 0.002673, PTP, rank-4, rank-2, 4_2_-3334_28
Link, 0, MPI_LINK, 0.005372, 0.006786, 0.001414, PTP, rank-5, rank-6, 5_6_-3334_39
Link, 0, MPI_LINK, 0.006042, 0.006882, 0.000840, PTP, rank-7, rank-8, 7_8_-3334_43
Link, 0, MPI_LINK, 0.006042, 0.006882, 0.000840, PTP, rank-7, rank-9, 7_9_-3334_42
Link, 0, MPI_LINK, 0.006160, 0.006965, 0.000805, PTP, rank-6, rank-7, 6_7_-3334_44
Link, 0, MPI_LINK, 0.006665, 0.007291, 0.000626, PTP, rank-2, rank-3, 2_3_-3334_45
Link, 0, MPI_LINK, 0.006882, 0.007508, 0.000626, PTP, rank-9, rank-0, 9_0_-3334_50
Link, 0, MPI_LINK, 0.003992, 0.007508, 0.003516, PTP, rank-4, rank-8, 4_8_-3334_29
Link, 0, MPI_LINK, 0.005372, 0.007648, 0.002276, PTP, rank-5, rank-7, 5_7_-3334_38
Link, 0, MPI_LINK, 0.005372, 0.007975, 0.002603, PTP, rank-5, rank-3, 5_3_-3334_36
Link, 0, MPI_LINK, 0.006786, 0.008274, 0.001488, PTP, rank-6, rank-7, 6_7_-3334_49
Link, 0, MPI_LINK, 0.007508, 0.008349, 0.000841, PTP, rank-8, rank-9, 8_9_-3334_52
Link, 0, MPI_LINK, 0.007508, 0.008349, 0.000841, PTP, rank-8, rank-0, 8_0_-3334_51
Link, 0, MPI_LINK, 0.007648, 0.008446, 0.000798, PTP, rank-7, rank-8, 7_8_-3334_53
Link, 0, MPI_LINK, 0.007975, 0.008601, 0.000626, PTP, rank-3, rank-4, 3_4_-3334_54
Link, 0, MPI_LINK, 0.008349, 0.008975, 0.000626, PTP, rank-0, rank-1, 0_1_-3334_59
Link, 0, MPI_LINK, 0.005372, 0.008975, 0.003603, PTP, rank-5, rank-9, 5_9_-3334_37
Link, 0, MPI_LINK, 0.006786, 0.009205, 0.002419, PTP, rank-6, rank-8, 6_8_-3334_48
Link, 0, MPI_LINK, 0.006786, 0.009360, 0.002574, PTP, rank-6, rank-4, 6_4_-3334_46
Link, 0, MPI_LINK, 0.008975, 0.009812, 0.000837, PTP, rank-9, rank-0, 9_0_-3334_61
Link, 0, MPI_LINK, 0.008975, 0.009812, 0.000837, PTP, rank-9, rank-1, 9_1_-3334_60
Link, 0, MPI_LINK, 0.008274, 0.009831, 0.001557, PTP, rank-7, rank-8, 7_8_-3334_58
Link, 0, MPI_LINK, 0.009205, 0.009973, 0.000768, PTP, rank-8, rank-9, 8_9_-3334_62
Link, 0, MPI_LINK, 0.009360, 0.009986, 0.000626, PTP, rank-4, rank-5, 4_5_-3334_63
Link, 0, MPI_LINK, 0.009812, 0.010438, 0.000626, PTP, rank-1, rank-2, 1_2_-3334_64
Link, 0, MPI_LINK, 0.006786, 0.010438, 0.003652, PTP, rank-6, rank-0, 6_0_-3334_47
Link, 0, MPI_LINK, 0.008274, 0.010794, 0.002520, PTP, rank-7, rank-9, 7_9_-3334_57
Link, 0, MPI_LINK, 0.008274, 0.010807, 0.002533, PTP, rank-7, rank-5, 7_5_-3334_55
Link, 0, MPI_LINK, 0.010438, 0.011273, 0.000835, PTP, rank-0, rank-1, 0_1_-3334_70
Link, 0, MPI_LINK, 0.010438, 0.011273, 0.000835, PTP, rank-0, rank-2, 0_2_-3334_69
Link, 0, MPI_LINK, 0.009831, 0.011420, 0.001589, PTP, rank-8, rank-9, 8_9_-3334_68
Link, 0, MPI_LINK, 0.010807, 0.011433, 0.000626, PTP, rank-5, rank-6, 5_6_-3334_72
Link, 0, MPI_LINK, 0.010794, 0.011520, 0.000726, PTP, rank-9, rank-0, 9_0_-3334_71
Link, 0, MPI_LINK, 0.011273, 0.011899, 0.000626, PTP, rank-2, rank-3, 2_3_-3334_73
Link, 0, MPI_LINK, 0.008274, 0.011899, 0.003625, PTP, rank-7, rank-1, 7_1_-3334_56
Link, 0, MPI_LINK, 0.009831, 0.012223, 0.002392, PTP, rank-8, rank-6, 8_6_-3334_65
Link, 0, MPI_LINK, 0.009831, 0.012309, 0.002478, PTP, rank-8, rank-0, 8_0_-3334_67
Link, 0, MPI_LINK, 0.011899, 0.012733, 0.000834, PTP, rank-1, rank-2, 1_2_-3334_79
Link, 0, MPI_LINK, 0.011899, 0.012733, 0.000834, PTP, rank-1, rank-3, 1_3_-3334_78
Link, 0, MPI_LINK, 0.012223, 0.012849, 0.000626, PTP, rank-6, rank-7, 6_7_-3334_80
Link, 0, MPI_LINK, 0.011420, 0.012935, 0.001515, PTP, rank-9, rank-0, 9_0_-3334_77
Link, 0, MPI_LINK, 0.012309, 0.013018, 0.000709, PTP, rank-0, rank-1, 0_1_-3334_81
Link, 0, MPI_LINK, 0.012733, 0.013359, 0.000626, PTP, rank-3, rank-4, 3_4_-3334_82
Link, 0, MPI_LINK, 0.009831, 0.013359, 0.003528, PTP, rank-8, rank-2, 8_2_-3334_66
Link, 0, MPI_LINK, 0.011420, 0.013601, 0.002181, PTP, rank-9, rank-7, 9_7_-3334_74
Link, 0, MPI_LINK, 0.011420, 0.013771, 0.002351, PTP, rank-9, rank-1, 9_1_-3334_76
Link, 0, MPI_LINK, 0.013359, 0.014192, 0.000833, PTP, rank-2, rank-3, 2_3_-3334_84
Link, 0, MPI_LINK, 0.013359, 0.014192, 0.000833, PTP, rank-2, rank-4, 2_4_-3334_83
Link, 0, MPI_LINK, 0.013601, 0.014227, 0.000626, PTP, rank-7, rank-8, 7_8_-3334_85
Link, 0, MPI_LINK, 0.013771, 0.014479, 0.000708, PTP, rank-1, rank-2, 1_2_-3334_86
Link, 0, MPI_LINK, 0.014192, 0.014818, 0.000626, PTP, rank-4, rank-5, 4_5_-3334_87
Link, 0, MPI_LINK, 0.011420, 0.014818, 0.003398, PTP, rank-9, rank-3, 9_3_-3334_75
Link, 0, MPI_LINK, 0.014818, 0.015645, 0.000827, PTP, rank-3, rank-4, 3_4_-3334_89
Link, 0, MPI_LINK, 0.014818, 0.015645, 0.000827, PTP, rank-3, rank-5, 3_5_-3334_88
Link, 0, MPI_LINK, 0.015645, 0.016271, 0.000626, PTP, rank-5, rank-6, 5_6_-3334_90
Container, 0, MPI, 0, 0.016271, 0.016271, rank-8
State, rank-8, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-8, MPI_STATE, 0.000699, 0.001526, 0.000827, 0.000000, PMPI_Bcast
State, rank-8, MPI_STATE, 0.001526, 0.004557, 0.003031, 0.000000, PMPI_Bcast
State, rank-8, MPI_STATE, 0.004557, 0.005416, 0.000859, 0.000000, PMPI_Bcast
State, rank-8, MPI_STATE, 0.005416, 0.006882, 0.001466, 0.000000, PMPI_Bcast
State, rank-8, MPI_STATE, 0.006882, 0.007508, 0.000626, 0.000000, PMPI_Bcast
State, rank-8, MPI_STATE, 0.007508, 0.008446, 0.000938, 0.000000, PMPI_Bcast
State, rank-8, MPI_STATE, 0.008446, 0.009205, 0.000759, 0.000000, PMPI_Bcast
State, rank-8, MPI_STATE, 0.009205, 0.009831, 0.000626, 0.000000, PMPI_Bcast
State, rank-8, MPI_STATE, 0.009831, 0.009831, 0.000000, 0.000000, PMPI_Bcast
State, rank-8, MPI_STATE, 0.009831, 0.014227, 0.004396, 0.000000, PMPI_Bcast
State, rank-8, MPI_STATE, 0.014227, 0.016271, 0.002044, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.016271, 0.016271, rank-7
State, rank-7, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-7, MPI_STATE, 0.001398, 0.002982, 0.001584, 0.000000, PMPI_Bcast
State, rank-7, MPI_STATE, 0.002982, 0.003931, 0.000949, 0.000000, PMPI_Bcast
State, rank-7, MPI_STATE, 0.003931, 0.005416, 0.001485, 0.000000, PMPI_Bcast
State, rank-7, MPI_STATE, 0.005416, 0.006042, 0.000626, 0.000000, PMPI_Bcast
State, rank-7, MPI_STATE, 0.006042, 0.006965, 0.000923, 0.000000, PMPI_Bcast
State, rank-7, MPI_STATE, 0.006965, 0.007648, 0.000683, 0.000000, PMPI_Bcast
State, rank-7, MPI_STATE, 0.007648, 0.008274, 0.000626, 0.000000, PMPI_Bcast
State, rank-7, MPI_STATE, 0.008274, 0.008274, 0.000000, 0.000000, PMPI_Bcast
State, rank-7, MPI_STATE, 0.008274, 0.012849, 0.004575, 0.000000, PMPI_Bcast
