Container, 0, 0, 0, 0.016452, 0.016452, 0
Link, 0, MPI_LINK, 0.000000, 0.001254, 0.001254, PTP, rank-0, rank-1, 0_1_-3334_4
Link, 0, MPI_LINK, 0.000000, 0.001254, 0.001254, PTP, rank-0, rank-2, 0_2_-3334_3
Link, 0, MPI_LINK, 0.000000, 0.001254, 0.001254, PTP, rank-0, rank-8, 0_8_-3334_1
Link, 0, MPI_LINK, 0.000000, 0.001578, 0.001578, PTP, rank-0, rank-4, 0_4_-3334_2
Link, 0, MPI_LINK, 0.001254, 0.001880, 0.000626, PTP, rank-1, rank-2, 1_2_-3334_10
Link, 0, MPI_LINK, 0.001254, 0.001880, 0.000626, PTP, rank-8, rank-9, 8_9_-3334_7
Link, 0, MPI_LINK, 0.001254, 0.001880, 0.000626, PTP, rank-2, rank-3, 2_3_-3334_6
Link, 0, MPI_LINK, 0.001578, 0.002405, 0.000827, PTP, rank-4, rank-5, 4_5_-3334_12
Link, 0, MPI_LINK, 0.001578, 0.002405, 0.000827, PTP, rank-4, rank-6, 4_6_-3334_11
Link, 0, MPI_LINK, 0.001254, 0.002775, 0.001521, PTP, rank-1, rank-3, 1_3_-3334_9
Link, 0, MPI_LINK, 0.001254, 0.002775, 0.001521, PTP, rank-1, rank-9, 1_9_-3334_5
Link, 0, MPI_LINK, 0.002405, 0.003031, 0.000626, PTP, rank-6, rank-7, 6_7_-3334_17
Link, 0, MPI_LINK, 0.001254, 0.003140, 0.001886, PTP, rank-1, rank-5, 1_5_-3334_8
Link, 0, MPI_LINK, 0.001880, 0.003401, 0.001521, PTP, rank-2, rank-3, 2_3_-3334_16
Link, 0, MPI_LINK, 0.002775, 0.003401, 0.000626, PTP, rank-9, rank-0, 9_0_-3334_19
Link, 0, MPI_LINK, 0.002775, 0.003401, 0.000626, PTP, rank-3, rank-4, 3_4_-3334_18
Link, 0, MPI_LINK, 0.003140, 0.003967, 0.000827, PTP, rank-5, rank-6, 5_6_-3334_21
Link, 0, MPI_LINK, 0.003140, 0.003967, 0.000827, PTP, rank-5, rank-7, 5_7_-3334_20
Link, 0, MPI_LINK, 0.001880, 0.004275, 0.002395, PTP, rank-2, rank-4, 2_4_-3334_15
Link, 0, MPI_LINK, 0.001880, 0.004275, 0.002395, PTP, rank-2, rank-0, 2_0_-3334_13
Link, 0, MPI_LINK, 0.003967, 0.004593, 0.000626, PTP, rank-7, rank-8, 7_8_-3334_26
Link, 0, MPI_LINK, 0.001880, 0.004668, 0.002788, PTP, rank-2, rank-6, 2_6_-3334_14
Link, 0, MPI_LINK, 0.003401, 0.004901, 0.001500, PTP, rank-3, rank-4, 3_4_-3334_25
Link, 0, MPI_LINK, 0.004275, 0.004901, 0.000626, PTP, rank-0, rank-1, 0_1_-3334_28
Link, 0, MPI_LINK, 0.004275, 0.004901, 0.000626, PTP, rank-4, rank-5, 4_5_-3334_27
Link, 0, MPI_LINK, 0.004668, 0.005495, 0.000827, PTP, rank-6, rank-7, 6_7_-3334_30
Link, 0, MPI_LINK, 0.004668, 0.005495, 0.000827, PTP, rank-6, rank-8, 6_8_-3334_29
Link, 0, MPI_LINK, 0.003401, 0.005760, 0.002359, PTP, rank-3, rank-5, 3_5_-3334_24
Link, 0, MPI_LINK, 0.003401, 0.005760, 0.002359, PTP, rank-3, rank-1, 3_1_-3334_22
Link, 0, MPI_LINK, 0.005495, 0.006121, 0.000626, PTP, rank-8, rank-9, 8_9_-3334_35
Link, 0, MPI_LINK, 0.003401, 0.006174, 0.002773, PTP, rank-3, rank-7, 3_7_-3334_23
Link, 0, MPI_LINK, 0.004901, 0.006386, 0.001485, PTP, rank-4, rank-5, 4_5_-3334_34
Link, 0, MPI_LINK, 0.005760, 0.006386, 0.000626, PTP, rank-1, rank-2, 1_2_-3334_37
Link, 0, MPI_LINK, 0.005760, 0.006386, 0.000626, PTP, rank-5, rank-6, 5_6_-3334_36
Link, 0, MPI_LINK, 0.006174, 0.007001, 0.000827, PTP, rank-7, rank-8, 7_8_-3334_39
Link, 0, MPI_LINK, 0.006174, 0.007001, 0.000827, PTP, rank-7, rank-9, 7_9_-3334_38
Link, 0, MPI_LINK, 0.004901, 0.007236, 0.002335, PTP, rank-4, rank-6, 4_6_-3334_33
Link, 0, MPI_LINK, 0.004901, 0.007236, 0.002335, PTP, rank-4, rank-2, 4_2_-3334_31
Link, 0, MPI_LINK, 0.007001, 0.007627, 0.000626, PTP, rank-9, rank-0, 9_0_-3334_44
Link, 0, MPI_LINK, 0.004901, 0.007663, 0.002762, PTP, rank-4, rank-8, 4_8_-3334_32
Link, 0, MPI_LINK, 0.006386, 0.007862, 0.001476, PTP, rank-5, rank-6, 5_6_-3334_43
Link, 0, MPI_LINK, 0.007236, 0.007862, 0.000626, PTP, rank-2, rank-3, 2_3_-3334_46
Link, 0, MPI_LINK, 0.007236, 0.007862, 0.000626, PTP, rank-6, rank-7, 6_7_-3334_45
Link, 0, MPI_LINK, 0.007663, 0.008490, 0.000827, PTP, rank-8, rank-9, 8_9_-3334_48
Link, 0, MPI_LINK, 0.007663, 0.008490, 0.000827, PTP, rank-8, rank-0, 8_0_-3334_47
Link, 0, MPI_LINK, 0.006386, 0.008705, 0.002319, PTP, rank-5, rank-7, 5_7_-3334_42
Link, 0, MPI_LINK, 0.006386, 0.008705, 0.002319, PTP, rank-5, rank-3, 5_3_-3334_40
Link, 0, MPI_LINK, 0.008490, 0.009116, 0.000626, PTP, rank-0, rank-1, 0_1_-3334_53
Link, 0, MPI_LINK, 0.006386, 0.009142, 0.002756, PTP, rank-5, rank-9, 5_9_-3334_41
Link, 0, MPI_LINK, 0.007862, 0.009331, 0.001469, PTP, rank-6, rank-7, 6_7_-3334_52
Link, 0, MPI_LINK, 0.008705, 0.009331, 0.000626, PTP, rank-3, rank-4, 3_4_-3334_55
Link, 0, MPI_LINK, 0.008705, 0.009331, 0.000626, PTP, rank-7, rank-8, 7_8_-3334_54
Link, 0, MPI_LINK, 0.009142, 0.009969, 0.000827, PTP, rank-9, rank-0, 9_0_-3334_57
Link, 0, MPI_LINK, 0.009142, 0.009969, 0.000827, PTP, rank-9, rank-1, 9_1_-3334_56
Link, 0, MPI_LINK, 0.007862, 0.010169, 0.002307, PTP, rank-6, rank-8, 6_8_-3334_51
Link, 0, MPI_LINK, 0.007862, 0.010169, 0.002307, PTP, rank-6, rank-4, 6_4_-3334_49
Link, 0, MPI_LINK, 0.009969, 0.010595, 0.000626, PTP, rank-1, rank-2, 1_2_-3334_62
Link, 0, MPI_LINK, 0.007862, 0.010613, 0.002751, PTP, rank-6, rank-0, 6_0_-3334_50
Link, 0, MPI_LINK, 0.009331, 0.010795, 0.001464, PTP, rank-7, rank-8, 7_8_-3334_61
Link, 0, MPI_LINK, 0.010169, 0.010795, 0.000626, PTP, rank-4, rank-5, 4_5_-3334_64
Link, 0, MPI_LINK, 0.010169, 0.010795, 0.000626, PTP, rank-8, rank-9, 8_9_-3334_63
Link, 0, MPI_LINK, 0.010613, 0.011440, 0.000827, PTP, rank-0, rank-1, 0_1_-3334_66
Link, 0, MPI_LINK, 0.010613, 0.011440, 0.000827, PTP, rank-0, rank-2, 0_2_-3334_65
Link, 0, MPI_LINK, 0.009331, 0.011630, 0.002299, PTP, rank-7, rank-9, 7_9_-3334_60
Link, 0, MPI_LINK, 0.009331, 0.011630, 0.002299, PTP, rank-7, rank-5, 7_5_-3334_58
Link, 0, MPI_LINK, 0.011440, 0.012066, 0.000626, PTP, rank-2, rank-3, 2_3_-3334_71
Link, 0, MPI_LINK, 0.009331, 0.012078, 0.002747, PTP, rank-7, rank-1, 7_1_-3334_59
Link, 0, MPI_LINK, 0.010795, 0.012256, 0.001461, PTP, rank-8, rank-9, 8_9_-3334_70
Link, 0, MPI_LINK, 0.011630, 0.012256, 0.000626, PTP, rank-5, rank-6, 5_6_-3334_73
Link, 0, MPI_LINK, 0.011630, 0.012256, 0.000626, PTP, rank-9, rank-0, 9_0_-3334_72
Link, 0, MPI_LINK, 0.012078, 0.012905, 0.000827, PTP, rank-1, rank-2, 1_2_-3334_75
Link, 0, MPI_LINK, 0.012078, 0.012905, 0.000827, PTP, rank-1, rank-3, 1_3_-3334_74
Link, 0, MPI_LINK, 0.010795, 0.013089, 0.002294, PTP, rank-8, rank-0, 8_0_-3334_69
Link, 0, MPI_LINK, 0.010795, 0.013089, 0.002294, PTP, rank-8, rank-6, 8_6_-3334_67
Link, 0, MPI_LINK, 0.012905, 0.013531, 0.000626, PTP, rank-3, rank-4, 3_4_-3334_80
Link, 0, MPI_LINK, 0.010795, 0.013540, 0.002745, PTP, rank-8, rank-2, 8_2_-3334_68
Link, 0, MPI_LINK, 0.012256, 0.013714, 0.001458, PTP, rank-9, rank-0, 9_0_-3334_79
Link, 0, MPI_LINK, 0.013089, 0.013714, 0.000625, PTP, rank-6, rank-7, 6_7_-3334_82
Link, 0, MPI_LINK, 0.013089, 0.013714, 0.000625, PTP, rank-0, rank-1, 0_1_-3334_81
Link, 0, MPI_LINK, 0.013540, 0.014367, 0.000827, PTP, rank-2, rank-3, 2_3_-3334_84
Link, 0, MPI_LINK, 0.013540, 0.014367, 0.000827, PTP, rank-2, rank-4, 2_4_-3334_83
Link, 0, MPI_LINK, 0.012256, 0.014545, 0.002289, PTP, rank-9, rank-1, 9_1_-3334_78
Link, 0, MPI_LINK, 0.012256, 0.014545, 0.002289, PTP, rank-9, rank-7, 9_7_-3334_76
Link, 0, MPI_LINK, 0.014367, 0.014993, 0.000626, PTP, rank-4, rank-5, 4_5_-3334_85
Link, 0, MPI_LINK, 0.012256, 0.014999, 0.002743, PTP, rank-9, rank-3, 9_3_-3334_77
Link, 0, MPI_LINK, 0.014545, 0.015171, 0.000626, PTP, rank-7, rank-8, 7_8_-3334_87
Link, 0, MPI_LINK, 0.014545, 0.015171, 0.000626, PTP, rank-1, rank-2, 1_2_-3334_86
Link, 0, MPI_LINK, 0.014999, 0.015826, 0.000827, PTP, rank-3, rank-4, 3_4_-3334_89
Link, 0, MPI_LINK, 0.014999, 0.015826, 0.000827, PTP, rank-3, rank-5, 3_5_-3334_88
Link, 0, MPI_LINK, 0.015826, 0.016452, 0.000626, PTP, rank-5, rank-6, 5_6_-3334_90
Container, 0, MPI, 0, 0.016452, 0.016452, rank-8
State, rank-8, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-8, MPI_STATE, 0.000000, 0.001254, 0.001254, 0.000000, PMPI_Bcast
State, rank-8, MPI_STATE, 0.001254, 0.004593, 0.003339, 0.000000, PMPI_Bcast
State, rank-8, MPI_STATE, 0.004593, 0.005495, 0.000902, 0.000000, PMPI_Bcast
State, rank-8, MPI_STATE, 0.005495, 0.007001, 0.001506, 0.000000, PMPI_Bcast
State, rank-8, MPI_STATE, 0.007001, 0.007663, 0.000662, 0.000000, PMPI_Bcast
State, rank-8, MPI_STATE, 0.007663, 0.009331, 0.001668, 0.000000, PMPI_Bcast
State, rank-8, MPI_STATE, 0.009331, 0.010169, 0.000838, 0.000000, PMPI_Bcast
State, rank-8, MPI_STATE, 0.010169, 0.010795, 0.000626, 0.000000, PMPI_Bcast
State, rank-8, MPI_STATE, 0.010795, 0.010795, 0.000000, 0.000000, PMPI_Bcast
State, rank-8, MPI_STATE, 0.010795, 0.015171, 0.004376, 0.000000, PMPI_Bcast
