Container, 0, 0, 0, 0.016519, 0.016519, 0
Link, 0, MPI_LINK, 0.000168, 0.001443, 0.001275, PTP, rank-0, rank-1, 0_1_-3334_4
Link, 0, MPI_LINK, 0.000168, 0.001443, 0.001275, PTP, rank-0, rank-2, 0_2_-3334_3
Link, 0, MPI_LINK, 0.000168, 0.001611, 0.001443, PTP, rank-0, rank-8, 0_8_-3334_1
Link, 0, MPI_LINK, 0.000168, 0.001672, 0.001504, PTP, rank-0, rank-4, 0_4_-3334_2
Link, 0, MPI_LINK, 0.001443, 0.002069, 0.000626, PTP, rank-1, rank-2, 1_2_-3334_9
Link, 0, MPI_LINK, 0.001443, 0.002069, 0.000626, PTP, rank-2, rank-3, 2_3_-3334_6
Link, 0, MPI_LINK, 0.001611, 0.002237, 0.000626, PTP, rank-8, rank-9, 8_9_-3334_10
Link, 0, MPI_LINK, 0.001672, 0.002499, 0.000827, PTP, rank-4, rank-5, 4_5_-3334_12
Link, 0, MPI_LINK, 0.001672, 0.002499, 0.000827, PTP, rank-4, rank-6, 4_6_-3334_11
Link, 0, MPI_LINK, 0.001443, 0.002900, 0.001457, PTP, rank-1, rank-3, 1_3_-3334_8
Link, 0, MPI_LINK, 0.002499, 0.003125, 0.000626, PTP, rank-6, rank-7, 6_7_-3334_17
Link, 0, MPI_LINK, 0.001443, 0.003142, 0.001699, PTP, rank-1, rank-9, 1_9_-3334_5
Link, 0, MPI_LINK, 0.001443, 0.003324, 0.001881, PTP, rank-1, rank-5, 1_5_-3334_7
Link, 0, MPI_LINK, 0.002069, 0.003526, 0.001457, PTP, rank-2, rank-3, 2_3_-3334_16
Link, 0, MPI_LINK, 0.002900, 0.003526, 0.000626, PTP, rank-3, rank-4, 3_4_-3334_18
Link, 0, MPI_LINK, 0.003142, 0.003768, 0.000626, PTP, rank-9, rank-0, 9_0_-3334_19
Link, 0, MPI_LINK, 0.003324, 0.004151, 0.000827, PTP, rank-5, rank-6, 5_6_-3334_21
Link, 0, MPI_LINK, 0.003324, 0.004151, 0.000827, PTP, rank-5, rank-7, 5_7_-3334_20
Link, 0, MPI_LINK, 0.002069, 0.004247, 0.002178, PTP, rank-2, rank-4, 2_4_-3334_15
Link, 0, MPI_LINK, 0.002069, 0.004563, 0.002494, PTP, rank-2, rank-0, 2_0_-3334_13
Link, 0, MPI_LINK, 0.004151, 0.004777, 0.000626, PTP, rank-7, rank-8, 7_8_-3334_26
Link, 0, MPI_LINK, 0.002069, 0.004852, 0.002783, PTP, rank-2, rank-6, 2_6_-3334_14
Link, 0, MPI_LINK, 0.003526, 0.004873, 0.001347, PTP, rank-3, rank-4, 3_4_-3334_25
Link, 0, MPI_LINK, 0.004247, 0.004873, 0.000626, PTP, rank-4, rank-5, 4_5_-3334_27
Link, 0, MPI_LINK, 0.004563, 0.005189, 0.000626, PTP, rank-0, rank-1, 0_1_-3334_28
Link, 0, MPI_LINK, 0.003526, 0.005562, 0.002036, PTP, rank-3, rank-5, 3_5_-3334_24
Link, 0, MPI_LINK, 0.004852, 0.005679, 0.000827, PTP, rank-6, rank-7, 6_7_-3334_30
Link, 0, MPI_LINK, 0.004852, 0.005679, 0.000827, PTP, rank-6, rank-8, 6_8_-3334_29
Link, 0, MPI_LINK, 0.003526, 0.005892, 0.002366, PTP, rank-3, rank-1, 3_1_-3334_22
Link, 0, MPI_LINK, 0.004873, 0.006188, 0.001315, PTP, rank-4, rank-5, 4_5_-3334_34
Link, 0, MPI_LINK, 0.005562, 0.006188, 0.000626, PTP, rank-5, rank-6, 5_6_-3334_35
Link, 0, MPI_LINK, 0.005679, 0.006305, 0.000626, PTP, rank-8, rank-9, 8_9_-3334_36
Link, 0, MPI_LINK, 0.003526, 0.006319, 0.002793, PTP, rank-3, rank-7, 3_7_-3334_23
Link, 0, MPI_LINK, 0.005892, 0.006518, 0.000626, PTP, rank-1, rank-2, 1_2_-3334_37
Link, 0, MPI_LINK, 0.004873, 0.006870, 0.001997, PTP, rank-4, rank-6, 4_6_-3334_33
Link, 0, MPI_LINK, 0.006319, 0.007149, 0.000830, PTP, rank-7, rank-8, 7_8_-3334_43
Link, 0, MPI_LINK, 0.006319, 0.007149, 0.000830, PTP, rank-7, rank-9, 7_9_-3334_42
