Container, 0, 0, 0, 0.017048, 0.017048, 0
Link, 0, MPI_LINK, 0.000210, 0.001673, 0.001463, PTP, rank-0, rank-1, 0_1_-3334_4
Link, 0, MPI_LINK, 0.000210, 0.001673, 0.001463, PTP, rank-0, rank-4, 0_4_-3334_2
Link, 0, MPI_LINK, 0.000210, 0.001673, 0.001463, PTP, rank-0, rank-8, 0_8_-3334_1
Link, 0, MPI_LINK, 0.000210, 0.001706, 0.001496, PTP, rank-0, rank-2, 0_2_-3334_3
Link, 0, MPI_LINK, 0.001673, 0.002299, 0.000626, PTP, rank-8, rank-9, 8_9_-3334_7
Link, 0, MPI_LINK, 0.001673, 0.002332, 0.000659, PTP, rank-1, rank-2, 1_2_-3334_11
Link, 0, MPI_LINK, 0.001706, 0.002332, 0.000626, PTP, rank-2, rank-3, 2_3_-3334_12
Link, 0, MPI_LINK, 0.001673, 0.002501, 0.000828, PTP, rank-4, rank-5, 4_5_-3334_9
Link, 0, MPI_LINK, 0.001673, 0.002501, 0.000828, PTP, rank-4, rank-6, 4_6_-3334_6
Link, 0, MPI_LINK, 0.002501, 0.003127, 0.000626, PTP, rank-6, rank-7, 6_7_-3334_17
Link, 0, MPI_LINK, 0.001673, 0.003335, 0.001662, PTP, rank-1, rank-9, 1_9_-3334_5
Link, 0, MPI_LINK, 0.001673, 0.003381, 0.001708, PTP, rank-1, rank-3, 1_3_-3334_10
Link, 0, MPI_LINK, 0.001673, 0.003499, 0.001826, PTP, rank-1, rank-5, 1_5_-3334_8
Link, 0, MPI_LINK, 0.003335, 0.003961, 0.000626, PTP, rank-9, rank-0, 9_0_-3334_18
Link, 0, MPI_LINK, 0.002332, 0.004007, 0.001675, PTP, rank-2, rank-3, 2_3_-3334_16
Link, 0, MPI_LINK, 0.003381, 0.004007, 0.000626, PTP, rank-3, rank-4, 3_4_-3334_19
Link, 0, MPI_LINK, 0.003499, 0.004326, 0.000827, PTP, rank-5, rank-6, 5_6_-3334_21
Link, 0, MPI_LINK, 0.003499, 0.004326, 0.000827, PTP, rank-5, rank-7, 5_7_-3334_20
Link, 0, MPI_LINK, 0.002332, 0.004904, 0.002572, PTP, rank-2, rank-0, 2_0_-3334_13
Link, 0, MPI_LINK, 0.004326, 0.004952, 0.000626, PTP, rank-7, rank-8, 7_8_-3334_26
Link, 0, MPI_LINK, 0.002332, 0.004972, 0.002640, PTP, rank-2, rank-4, 2_4_-3334_15
Link, 0, MPI_LINK, 0.002332, 0.005193, 0.002861, PTP, rank-2, rank-6, 2_6_-3334_14
Link, 0, MPI_LINK, 0.004904, 0.005530, 0.000626, PTP, rank-0, rank-1, 0_1_-3334_27
Link, 0, MPI_LINK, 0.004007, 0.005598, 0.001591, PTP, rank-3, rank-4, 3_4_-3334_25
Link, 0, MPI_LINK, 0.004972, 0.005598, 0.000626, PTP, rank-4, rank-5, 4_5_-3334_28
Link, 0, MPI_LINK, 0.005193, 0.006020, 0.000827, PTP, rank-6, rank-7, 6_7_-3334_30
Link, 0, MPI_LINK, 0.005193, 0.006020, 0.000827, PTP, rank-6, rank-8, 6_8_-3334_29
Link, 0, MPI_LINK, 0.004007, 0.006399, 0.002392, PTP, rank-3, rank-1, 3_1_-3334_22
Link, 0, MPI_LINK, 0.004007, 0.006495, 0.002488, PTP, rank-3, rank-5, 3_5_-3334_24
Link, 0, MPI_LINK, 0.006020, 0.006646, 0.000626, PTP, rank-8, rank-9, 8_9_-3334_35
Link, 0, MPI_LINK, 0.004007, 0.006789, 0.002782, PTP, rank-3, rank-7, 3_7_-3334_23
Link, 0, MPI_LINK, 0.006399, 0.007025, 0.000626, PTP, rank-1, rank-2, 1_2_-3334_36
Link, 0, MPI_LINK, 0.005598, 0.007121, 0.001523, PTP, rank-4, rank-5, 4_5_-3334_34
Link, 0, MPI_LINK, 0.006495, 0.007121, 0.000626, PTP, rank-5, rank-6, 5_6_-3334_37
Link, 0, MPI_LINK, 0.006789, 0.007616, 0.000827, PTP, rank-7, rank-8, 7_8_-3334_39
Link, 0, MPI_LINK, 0.006789, 0.007616, 0.000827, PTP, rank-7, rank-9, 7_9_-3334_38
Link, 0, MPI_LINK, 0.005598, 0.007822, 0.002224, PTP, rank-4, rank-2, 4_2_-3334_31
Link, 0, MPI_LINK, 0.005598, 0.007961, 0.002363, PTP, rank-4, rank-6, 4_6_-3334_33
Link, 0, MPI_LINK, 0.007616, 0.008242, 0.000626, PTP, rank-9, rank-0, 9_0_-3334_44
