Container, 0, 0, 0, 0.016712, 0.016712, 0
Link, 0, MPI_LINK, 0.000077, 0.001489, 0.001412, PTP, rank-0, rank-1, 0_1_-3334_4
Link, 0, MPI_LINK, 0.000077, 0.001489, 0.001412, PTP, rank-0, rank-2, 0_2_-3334_3
Link, 0, MPI_LINK, 0.000077, 0.001552, 0.001475, PTP, rank-0, rank-8, 0_8_-3334_1
Link, 0, MPI_LINK, 0.000077, 0.001568, 0.001491, PTP, rank-0, rank-4, 0_4_-3334_2
Link, 0, MPI_LINK, 0.001489, 0.002115, 0.000626, PTP, rank-1, rank-2, 1_2_-3334_9
Link, 0, MPI_LINK, 0.001489, 0.002115, 0.000626, PTP, rank-2, rank-3, 2_3_-3334_6
Link, 0, MPI_LINK, 0.001552, 0.002178, 0.000626, PTP, rank-8, rank-9, 8_9_-3334_10
Link, 0, MPI_LINK, 0.001568, 0.002396, 0.000828, PTP, rank-4, rank-5, 4_5_-3334_12
Link, 0, MPI_LINK, 0.001568, 0.002396, 0.000828, PTP, rank-4, rank-6, 4_6_-3334_11
Link, 0, MPI_LINK, 0.002396, 0.003022, 0.000626, PTP, rank-6, rank-7, 6_7_-3334_17
Link, 0, MPI_LINK, 0.001489, 0.003091, 0.001602, PTP, rank-1, rank-3, 1_3_-3334_8
Link, 0, MPI_LINK, 0.001489, 0.003181, 0.001692, PTP, rank-1, rank-9, 1_9_-3334_5
Link, 0, MPI_LINK, 0.001489, 0.003333, 0.001844, PTP, rank-1, rank-5, 1_5_-3334_7
Link, 0, MPI_LINK, 0.002115, 0.003717, 0.001602, PTP, rank-2, rank-3, 2_3_-3334_16
Link, 0, MPI_LINK, 0.003091, 0.003717, 0.000626, PTP, rank-3, rank-4, 3_4_-3334_18
Link, 0, MPI_LINK, 0.003181, 0.003807, 0.000626, PTP, rank-9, rank-0, 9_0_-3334_19
Link, 0, MPI_LINK, 0.003333, 0.004160, 0.000827, PTP, rank-5, rank-6, 5_6_-3334_21
Link, 0, MPI_LINK, 0.003333, 0.004160, 0.000827, PTP, rank-5, rank-7, 5_7_-3334_20
Link, 0, MPI_LINK, 0.002115, 0.004593, 0.002478, PTP, rank-2, rank-4, 2_4_-3334_15
Link, 0, MPI_LINK, 0.002115, 0.004723, 0.002608, PTP, rank-2, rank-0, 2_0_-3334_13
Link, 0, MPI_LINK, 0.004160, 0.004786, 0.000626, PTP, rank-7, rank-8, 7_8_-3334_26
Link, 0, MPI_LINK, 0.002115, 0.004968, 0.002853, PTP, rank-2, rank-6, 2_6_-3334_14
Link, 0, MPI_LINK, 0.003717, 0.005219, 0.001502, PTP, rank-3, rank-4, 3_4_-3334_25
Link, 0, MPI_LINK, 0.004593, 0.005219, 0.000626, PTP, rank-4, rank-5, 4_5_-3334_27
Link, 0, MPI_LINK, 0.004723, 0.005349, 0.000626, PTP, rank-0, rank-1, 0_1_-3334_28
Link, 0, MPI_LINK, 0.004968, 0.005795, 0.000827, PTP, rank-6, rank-7, 6_7_-3334_30
