Container, 0, 0, 0, 0.017109, 0.017109, 0
Link, 0, MPI_LINK, 0.000699, 0.001953, 0.001254, PTP, rank-0, rank-1, 0_1_-3334_4
Link, 0, MPI_LINK, 0.000699, 0.001953, 0.001254, PTP, rank-0, rank-2, 0_2_-3334_3
Link, 0, MPI_LINK, 0.000699, 0.001953, 0.001254, PTP, rank-0, rank-4, 0_4_-3334_2
Link, 0, MPI_LINK, 0.000699, 0.002277, 0.001578, PTP, rank-0, rank-8, 0_8_-3334_1
Link, 0, MPI_LINK, 0.001953, 0.002579, 0.000626, PTP, rank-1, rank-2, 1_2_-3334_11
Link, 0, MPI_LINK, 0.001953, 0.002579, 0.000626, PTP, rank-2, rank-3, 2_3_-3334_6
Link, 0, MPI_LINK, 0.001953, 0.002780, 0.000827, PTP, rank-4, rank-5, 4_5_-3334_9
Link, 0, MPI_LINK, 0.001953, 0.002780, 0.000827, PTP, rank-4, rank-6, 4_6_-3334_7
Link, 0, MPI_LINK, 0.002277, 0.002903, 0.000626, PTP, rank-8, rank-9, 8_9_-3334_12
Link, 0, MPI_LINK, 0.002780, 0.003406, 0.000626, PTP, rank-6, rank-7, 6_7_-3334_17
Link, 0, MPI_LINK, 0.001953, 0.003442, 0.001489, PTP, rank-1, rank-3, 1_3_-3334_10
Link, 0, MPI_LINK, 0.001953, 0.003731, 0.001778, PTP, rank-1, rank-5, 1_5_-3334_8
Link, 0, MPI_LINK, 0.001953, 0.003817, 0.001864, PTP, rank-1, rank-9, 1_9_-3334_5
Link, 0, MPI_LINK, 0.002579, 0.004068, 0.001489, PTP, rank-2, rank-3, 2_3_-3334_16
Link, 0, MPI_LINK, 0.003442, 0.004068, 0.000626, PTP, rank-3, rank-4, 3_4_-3334_18
Link, 0, MPI_LINK, 0.003817, 0.004443, 0.000626, PTP, rank-9, rank-0, 9_0_-3334_21
Link, 0, MPI_LINK, 0.003731, 0.004559, 0.000828, PTP, rank-5, rank-6, 5_6_-3334_20
Link, 0, MPI_LINK, 0.003731, 0.004559, 0.000828, PTP, rank-5, rank-7, 5_7_-3334_19
Link, 0, MPI_LINK, 0.002579, 0.004733, 0.002154, PTP, rank-2, rank-4, 2_4_-3334_15
Link, 0, MPI_LINK, 0.004559, 0.005185, 0.000626, PTP, rank-7, rank-8, 7_8_-3334_26
Link, 0, MPI_LINK, 0.002579, 0.005272, 0.002693, PTP, rank-2, rank-0, 2_0_-3334_13
Link, 0, MPI_LINK, 0.002579, 0.005353, 0.002774, PTP, rank-2, rank-6, 2_6_-3334_14
Link, 0, MPI_LINK, 0.004068, 0.005359, 0.001291, PTP, rank-3, rank-4, 3_4_-3334_25
Link, 0, MPI_LINK, 0.004733, 0.005359, 0.000626, PTP, rank-4, rank-5, 4_5_-3334_27
Link, 0, MPI_LINK, 0.005272, 0.005898, 0.000626, PTP, rank-0, rank-1, 0_1_-3334_28
Link, 0, MPI_LINK, 0.004068, 0.005985, 0.001917, PTP, rank-3, rank-5, 3_5_-3334_24
Link, 0, MPI_LINK, 0.005353, 0.006181, 0.000828, PTP, rank-6, rank-7, 6_7_-3334_30
Link, 0, MPI_LINK, 0.005353, 0.006181, 0.000828, PTP, rank-6, rank-8, 6_8_-3334_29
Link, 0, MPI_LINK, 0.004068, 0.006601, 0.002533, PTP, rank-3, rank-1, 3_1_-3334_22
Link, 0, MPI_LINK, 0.005359, 0.006611, 0.001252, PTP, rank-4, rank-5, 4_5_-3334_34
Link, 0, MPI_LINK, 0.005985, 0.006620, 0.000635, PTP, rank-5, rank-6, 5_6_-3334_35
Link, 0, MPI_LINK, 0.006181, 0.006807, 0.000626, PTP, rank-8, rank-9, 8_9_-3334_36
Link, 0, MPI_LINK, 0.004068, 0.006884, 0.002816, PTP, rank-3, rank-7, 3_7_-3334_23
Link, 0, MPI_LINK, 0.006601, 0.007227, 0.000626, PTP, rank-1, rank-2, 1_2_-3334_37
Link, 0, MPI_LINK, 0.005359, 0.007246, 0.001887, PTP, rank-4, rank-6, 4_6_-3334_33
Link, 0, MPI_LINK, 0.006884, 0.007719, 0.000835, PTP, rank-7, rank-8, 7_8_-3334_43
Link, 0, MPI_LINK, 0.006884, 0.007719, 0.000835, PTP, rank-7, rank-9, 7_9_-3334_42
Link, 0, MPI_LINK, 0.005359, 0.007853, 0.002494, PTP, rank-4, rank-2, 4_2_-3334_31
Link, 0, MPI_LINK, 0.006611, 0.007872, 0.001261, PTP, rank-5, rank-6, 5_6_-3334_41
Link, 0, MPI_LINK, 0.007246, 0.007970, 0.000724, PTP, rank-6, rank-7, 6_7_-3334_44
Link, 0, MPI_LINK, 0.007719, 0.008344, 0.000625, PTP, rank-9, rank-0, 9_0_-3334_45
Link, 0, MPI_LINK, 0.005359, 0.008344, 0.002985, PTP, rank-4, rank-8, 4_8_-3334_32
Link, 0, MPI_LINK, 0.007853, 0.008479, 0.000626, PTP, rank-2, rank-3, 2_3_-3334_46
Link, 0, MPI_LINK, 0.006611, 0.008596, 0.001985, PTP, rank-5, rank-7, 5_7_-3334_40
Link, 0, MPI_LINK, 0.006611, 0.009105, 0.002494, PTP, rank-5, rank-3, 5_3_-3334_38
Link, 0, MPI_LINK, 0.008344, 0.009182, 0.000838, PTP, rank-8, rank-9, 8_9_-3334_52
Link, 0, MPI_LINK, 0.008344, 0.009182, 0.000838, PTP, rank-8, rank-0, 8_0_-3334_51
Link, 0, MPI_LINK, 0.007872, 0.009222, 0.001350, PTP, rank-6, rank-7, 6_7_-3334_50
Link, 0, MPI_LINK, 0.008596, 0.009357, 0.000761, PTP, rank-7, rank-8, 7_8_-3334_53
Link, 0, MPI_LINK, 0.009105, 0.009731, 0.000626, PTP, rank-3, rank-4, 3_4_-3334_54
Link, 0, MPI_LINK, 0.009182, 0.009808, 0.000626, PTP, rank-0, rank-1, 0_1_-3334_55
Link, 0, MPI_LINK, 0.006611, 0.009808, 0.003197, PTP, rank-5, rank-9, 5_9_-3334_39
Link, 0, MPI_LINK, 0.007872, 0.010020, 0.002148, PTP, rank-6, rank-8, 6_8_-3334_49
Link, 0, MPI_LINK, 0.007872, 0.010394, 0.002522, PTP, rank-6, rank-4, 6_4_-3334_47
Link, 0, MPI_LINK, 0.009222, 0.010646, 0.001424, PTP, rank-7, rank-8, 7_8_-3334_59
Link, 0, MPI_LINK, 0.009808, 0.010646, 0.000838, PTP, rank-9, rank-0, 9_0_-3334_61
Link, 0, MPI_LINK, 0.009808, 0.010646, 0.000838, PTP, rank-9, rank-1, 9_1_-3334_60
Link, 0, MPI_LINK, 0.010020, 0.010794, 0.000774, PTP, rank-8, rank-9, 8_9_-3334_62
Link, 0, MPI_LINK, 0.010394, 0.011020, 0.000626, PTP, rank-4, rank-5, 4_5_-3334_63
Link, 0, MPI_LINK, 0.010646, 0.011272, 0.000626, PTP, rank-1, rank-2, 1_2_-3334_68
Link, 0, MPI_LINK, 0.007872, 0.011272, 0.003400, PTP, rank-6, rank-0, 6_0_-3334_48
Link, 0, MPI_LINK, 0.009222, 0.011521, 0.002299, PTP, rank-7, rank-9, 7_9_-3334_58
Link, 0, MPI_LINK, 0.009222, 0.011748, 0.002526, PTP, rank-7, rank-5, 7_5_-3334_56
Link, 0, MPI_LINK, 0.011272, 0.012110, 0.000838, PTP, rank-0, rank-1, 0_1_-3334_70
Link, 0, MPI_LINK, 0.011272, 0.012110, 0.000838, PTP, rank-0, rank-2, 0_2_-3334_69
Link, 0, MPI_LINK, 0.010646, 0.012147, 0.001501, PTP, rank-8, rank-9, 8_9_-3334_67
Link, 0, MPI_LINK, 0.011521, 0.012283, 0.000762, PTP, rank-9, rank-0, 9_0_-3334_71
Link, 0, MPI_LINK, 0.011748, 0.012374, 0.000626, PTP, rank-5, rank-6, 5_6_-3334_72
Link, 0, MPI_LINK, 0.012110, 0.012736, 0.000626, PTP, rank-2, rank-3, 2_3_-3334_73
Link, 0, MPI_LINK, 0.009222, 0.012736, 0.003514, PTP, rank-7, rank-1, 7_1_-3334_57
Link, 0, MPI_LINK, 0.010646, 0.013070, 0.002424, PTP, rank-8, rank-0, 8_0_-3334_66
Link, 0, MPI_LINK, 0.010646, 0.013161, 0.002515, PTP, rank-8, rank-6, 8_6_-3334_64
Link, 0, MPI_LINK, 0.012736, 0.013571, 0.000835, PTP, rank-1, rank-2, 1_2_-3334_79
Link, 0, MPI_LINK, 0.012736, 0.013571, 0.000835, PTP, rank-1, rank-3, 1_3_-3334_78
Link, 0, MPI_LINK, 0.012147, 0.013696, 0.001549, PTP, rank-9, rank-0, 9_0_-3334_77
Link, 0, MPI_LINK, 0.013161, 0.013787, 0.000626, PTP, rank-6, rank-7, 6_7_-3334_81
Link, 0, MPI_LINK, 0.013070, 0.013804, 0.000734, PTP, rank-0, rank-1, 0_1_-3334_80
Link, 0, MPI_LINK, 0.013571, 0.014197, 0.000626, PTP, rank-3, rank-4, 3_4_-3334_82
Link, 0, MPI_LINK, 0.010646, 0.014197, 0.003551, PTP, rank-8, rank-2, 8_2_-3334_65
Link, 0, MPI_LINK, 0.012147, 0.014607, 0.002460, PTP, rank-9, rank-7, 9_7_-3334_74
Link, 0, MPI_LINK, 0.012147, 0.014624, 0.002477, PTP, rank-9, rank-1, 9_1_-3334_76
Link, 0, MPI_LINK, 0.014197, 0.015030, 0.000833, PTP, rank-2, rank-3, 2_3_-3334_84
Link, 0, MPI_LINK, 0.014197, 0.015030, 0.000833, PTP, rank-2, rank-4, 2_4_-3334_83
Link, 0, MPI_LINK, 0.014607, 0.015233, 0.000626, PTP, rank-7, rank-8, 7_8_-3334_85
Link, 0, MPI_LINK, 0.014624, 0.015327, 0.000703, PTP, rank-1, rank-2, 1_2_-3334_86
Link, 0, MPI_LINK, 0.015030, 0.015656, 0.000626, PTP, rank-4, rank-5, 4_5_-3334_87
Link, 0, MPI_LINK, 0.012147, 0.015656, 0.003509, PTP, rank-9, rank-3, 9_3_-3334_75
Link, 0, MPI_LINK, 0.015656, 0.016484, 0.000828, PTP, rank-3, rank-4, 3_4_-3334_89
Link, 0, MPI_LINK, 0.015656, 0.016484, 0.000828, PTP, rank-3, rank-5, 3_5_-3334_88
Link, 0, MPI_LINK, 0.016484, 0.017109, 0.000625, PTP, rank-5, rank-6, 5_6_-3334_90
Container, 0, MPI, 0, 0.017109, 0.017109, rank-8
State, rank-8, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-8, MPI_STATE, 0.001398, 0.002277, 0.000879, 0.000000, PMPI_Bcast
State, rank-8, MPI_STATE, 0.002277, 0.005185, 0.002908, 0.000000, PMPI_Bcast
State, rank-8, MPI_STATE, 0.005185, 0.006181, 0.000996, 0.000000, PMPI_Bcast
State, rank-8, MPI_STATE, 0.006181, 0.007719, 0.001538, 0.000000, PMPI_Bcast
State, rank-8, MPI_STATE, 0.007719, 0.008344, 0.000625, 0.000000, PMPI_Bcast
State, rank-8, MPI_STATE, 0.008344, 0.009357, 0.001013, 0.000000, PMPI_Bcast
State, rank-8, MPI_STATE, 0.009357, 0.010020, 0.000663, 0.000000, PMPI_Bcast
State, rank-8, MPI_STATE, 0.010020, 0.010646, 0.000626, 0.000000, PMPI_Bcast
State, rank-8, MPI_STATE, 0.010646, 0.010646, 0.000000, 0.000000, PMPI_Bcast
State, rank-8, MPI_STATE, 0.010646, 0.015233, 0.004587, 0.000000, PMPI_Bcast
State, rank-8, MPI_STATE, 0.015233, 0.017109, 0.001876, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.017109, 0.017109, rank-7
State, rank-7, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-7, MPI_STATE, 0.000699, 0.003406, 0.002707, 0.000000, PMPI_Bcast
State, rank-7, MPI_STATE, 0.003406, 0.004559, 0.001153, 0.000000, PMPI_Bcast
State, rank-7, MPI_STATE, 0.004559, 0.006181, 0.001622, 0.000000, PMPI_Bcast
State, rank-7, MPI_STATE, 0.006181, 0.006884, 0.000703, 0.000000, PMPI_Bcast
State, rank-7, MPI_STATE, 0.006884, 0.007970, 0.001086, 0.000000, PMPI_Bcast
State, rank-7, MPI_STATE, 0.007970, 0.008596, 0.000626, 0.000000, PMPI_Bcast
State, rank-7, MPI_STATE, 0.008596, 0.009222, 0.000626, 0.000000, PMPI_Bcast
State, rank-7, MPI_STATE, 0.009222, 0.009222, 0.000000, 0.000000, PMPI_Bcast
State, rank-7, MPI_STATE, 0.009222, 0.013787, 0.004565, 0.000000, PMPI_Bcast
State, rank-7, MPI_STATE, 0.013787, 0.014607, 0.000820, 0.000000, PMPI_Bcast
State, rank-7, MPI_STATE, 0.014607, 0.017109, 0.002502, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.017109, 0.017109, rank-6
State, rank-6, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-6, MPI_STATE, 0.000000, 0.002780, 0.002780, 0.000000, PMPI_Bcast
State, rank-6, MPI_STATE, 0.002780, 0.004559, 0.001779, 0.000000, PMPI_Bcast
State, rank-6, MPI_STATE, 0.004559, 0.005353, 0.000794, 0.000000, PMPI_Bcast
State, rank-6, MPI_STATE, 0.005353, 0.006620, 0.001267, 0.000000, PMPI_Bcast
