Container, 0, 0, 0, 0.016427, 0.016427, 0
Link, 0, MPI_LINK, 0.000077, 0.001318, 0.001241, PTP, rank-0, rank-1, 0_1_-3334_4
Link, 0, MPI_LINK, 0.000077, 0.001333, 0.001256, PTP, rank-0, rank-8, 0_8_-3334_1
Link, 0, MPI_LINK, 0.000077, 0.001529, 0.001452, PTP, rank-0, rank-2, 0_2_-3334_3
Link, 0, MPI_LINK, 0.000077, 0.001580, 0.001503, PTP, rank-0, rank-4, 0_4_-3334_2
Link, 0, MPI_LINK, 0.001333, 0.001959, 0.000626, PTP, rank-8, rank-9, 8_9_-3334_9
Link, 0, MPI_LINK, 0.001529, 0.002155, 0.000626, PTP, rank-2, rank-3, 2_3_-3334_10
Link, 0, MPI_LINK, 0.001318, 0.002167, 0.000849, PTP, rank-1, rank-2, 1_2_-3334_8
Link, 0, MPI_LINK, 0.001580, 0.002408, 0.000828, PTP, rank-4, rank-5, 4_5_-3334_12
Link, 0, MPI_LINK, 0.001580, 0.002408, 0.000828, PTP, rank-4, rank-6, 4_6_-3334_11
Link, 0, MPI_LINK, 0.001318, 0.002790, 0.001472, PTP, rank-1, rank-9, 1_9_-3334_5
Link, 0, MPI_LINK, 0.002408, 0.003034, 0.000626, PTP, rank-6, rank-7, 6_7_-3334_17
Link, 0, MPI_LINK, 0.001318, 0.003053, 0.001735, PTP, rank-1, rank-3, 1_3_-3334_7
Link, 0, MPI_LINK, 0.001318, 0.003229, 0.001911, PTP, rank-1, rank-5, 1_5_-3334_6
Link, 0, MPI_LINK, 0.002790, 0.003416, 0.000626, PTP, rank-9, rank-0, 9_0_-3334_18
Link, 0, MPI_LINK, 0.003053, 0.003679, 0.000626, PTP, rank-3, rank-4, 3_4_-3334_19
Link, 0, MPI_LINK, 0.002167, 0.003722, 0.001555, PTP, rank-2, rank-3, 2_3_-3334_16
Link, 0, MPI_LINK, 0.003229, 0.004056, 0.000827, PTP, rank-5, rank-6, 5_6_-3334_21
Link, 0, MPI_LINK, 0.003229, 0.004056, 0.000827, PTP, rank-5, rank-7, 5_7_-3334_20
Link, 0, MPI_LINK, 0.002167, 0.004188, 0.002021, PTP, rank-2, rank-0, 2_0_-3334_13
Link, 0, MPI_LINK, 0.002167, 0.004491, 0.002324, PTP, rank-2, rank-4, 2_4_-3334_15
Link, 0, MPI_LINK, 0.004056, 0.004682, 0.000626, PTP, rank-7, rank-8, 7_8_-3334_26
Link, 0, MPI_LINK, 0.002167, 0.004764, 0.002597, PTP, rank-2, rank-6, 2_6_-3334_14
Link, 0, MPI_LINK, 0.004188, 0.004814, 0.000626, PTP, rank-0, rank-1, 0_1_-3334_27
Link, 0, MPI_LINK, 0.004491, 0.005117, 0.000626, PTP, rank-4, rank-5, 4_5_-3334_28
Link, 0, MPI_LINK, 0.003722, 0.005176, 0.001454, PTP, rank-3, rank-4, 3_4_-3334_25
Link, 0, MPI_LINK, 0.004764, 0.005591, 0.000827, PTP, rank-6, rank-7, 6_7_-3334_30
Link, 0, MPI_LINK, 0.004764, 0.005591, 0.000827, PTP, rank-6, rank-8, 6_8_-3334_29
Link, 0, MPI_LINK, 0.003722, 0.005594, 0.001872, PTP, rank-3, rank-1, 3_1_-3334_22
Link, 0, MPI_LINK, 0.003722, 0.005872, 0.002150, PTP, rank-3, rank-5, 3_5_-3334_24
Link, 0, MPI_LINK, 0.005591, 0.006217, 0.000626, PTP, rank-8, rank-9, 8_9_-3334_35
Link, 0, MPI_LINK, 0.005594, 0.006220, 0.000626, PTP, rank-1, rank-2, 1_2_-3334_36
Link, 0, MPI_LINK, 0.003722, 0.006252, 0.002530, PTP, rank-3, rank-7, 3_7_-3334_23
Link, 0, MPI_LINK, 0.005872, 0.006498, 0.000626, PTP, rank-5, rank-6, 5_6_-3334_37
Link, 0, MPI_LINK, 0.005176, 0.006546, 0.001370, PTP, rank-4, rank-5, 4_5_-3334_34
Link, 0, MPI_LINK, 0.005176, 0.006995, 0.001819, PTP, rank-4, rank-2, 4_2_-3334_31
Link, 0, MPI_LINK, 0.006252, 0.007079, 0.000827, PTP, rank-7, rank-8, 7_8_-3334_39
Link, 0, MPI_LINK, 0.006252, 0.007079, 0.000827, PTP, rank-7, rank-9, 7_9_-3334_38
Link, 0, MPI_LINK, 0.005176, 0.007224, 0.002048, PTP, rank-4, rank-6, 4_6_-3334_33
Link, 0, MPI_LINK, 0.006995, 0.007621, 0.000626, PTP, rank-2, rank-3, 2_3_-3334_44
Link, 0, MPI_LINK, 0.007079, 0.007705, 0.000626, PTP, rank-9, rank-0, 9_0_-3334_45
Link, 0, MPI_LINK, 0.005176, 0.007705, 0.002529, PTP, rank-4, rank-8, 4_8_-3334_32
Link, 0, MPI_LINK, 0.007224, 0.007850, 0.000626, PTP, rank-6, rank-7, 6_7_-3334_46
Link, 0, MPI_LINK, 0.006546, 0.007877, 0.001331, PTP, rank-5, rank-6, 5_6_-3334_43
Link, 0, MPI_LINK, 0.006546, 0.008386, 0.001840, PTP, rank-5, rank-3, 5_3_-3334_40
Link, 0, MPI_LINK, 0.007705, 0.008532, 0.000827, PTP, rank-8, rank-9, 8_9_-3334_48
Link, 0, MPI_LINK, 0.007705, 0.008532, 0.000827, PTP, rank-8, rank-0, 8_0_-3334_47
Link, 0, MPI_LINK, 0.006546, 0.008589, 0.002043, PTP, rank-5, rank-7, 5_7_-3334_42
Link, 0, MPI_LINK, 0.008386, 0.009012, 0.000626, PTP, rank-3, rank-4, 3_4_-3334_53
Link, 0, MPI_LINK, 0.008532, 0.009158, 0.000626, PTP, rank-0, rank-1, 0_1_-3334_54
Link, 0, MPI_LINK, 0.006546, 0.009158, 0.002612, PTP, rank-5, rank-9, 5_9_-3334_41
Link, 0, MPI_LINK, 0.008589, 0.009215, 0.000626, PTP, rank-7, rank-8, 7_8_-3334_55
Link, 0, MPI_LINK, 0.007877, 0.009230, 0.001353, PTP, rank-6, rank-7, 6_7_-3334_52
Link, 0, MPI_LINK, 0.007877, 0.009773, 0.001896, PTP, rank-6, rank-4, 6_4_-3334_49
Link, 0, MPI_LINK, 0.007877, 0.009960, 0.002083, PTP, rank-6, rank-8, 6_8_-3334_51
Link, 0, MPI_LINK, 0.009158, 0.009985, 0.000827, PTP, rank-9, rank-0, 9_0_-3334_57
Link, 0, MPI_LINK, 0.009158, 0.009985, 0.000827, PTP, rank-9, rank-1, 9_1_-3334_56
Link, 0, MPI_LINK, 0.009773, 0.010399, 0.000626, PTP, rank-4, rank-5, 4_5_-3334_62
Link, 0, MPI_LINK, 0.009960, 0.010586, 0.000626, PTP, rank-8, rank-9, 8_9_-3334_63
Link, 0, MPI_LINK, 0.009230, 0.010594, 0.001364, PTP, rank-7, rank-8, 7_8_-3334_61
Link, 0, MPI_LINK, 0.009985, 0.010611, 0.000626, PTP, rank-1, rank-2, 1_2_-3334_64
Link, 0, MPI_LINK, 0.007877, 0.010611, 0.002734, PTP, rank-6, rank-0, 6_0_-3334_50
Link, 0, MPI_LINK, 0.009230, 0.011156, 0.001926, PTP, rank-7, rank-5, 7_5_-3334_58
Link, 0, MPI_LINK, 0.009230, 0.011335, 0.002105, PTP, rank-7, rank-9, 7_9_-3334_60
Link, 0, MPI_LINK, 0.010611, 0.011438, 0.000827, PTP, rank-0, rank-1, 0_1_-3334_70
Link, 0, MPI_LINK, 0.010611, 0.011438, 0.000827, PTP, rank-0, rank-2, 0_2_-3334_69
Link, 0, MPI_LINK, 0.011156, 0.011782, 0.000626, PTP, rank-5, rank-6, 5_6_-3334_71
Link, 0, MPI_LINK, 0.011335, 0.011961, 0.000626, PTP, rank-9, rank-0, 9_0_-3334_72
Link, 0, MPI_LINK, 0.010594, 0.011965, 0.001371, PTP, rank-8, rank-9, 8_9_-3334_68
Link, 0, MPI_LINK, 0.011438, 0.012064, 0.000626, PTP, rank-2, rank-3, 2_3_-3334_73
Link, 0, MPI_LINK, 0.009230, 0.012064, 0.002834, PTP, rank-7, rank-1, 7_1_-3334_59
