Container, 0, 0, 0, 0.016603, 0.016603, 0
Link, 0, MPI_LINK, 0.000028, 0.001401, 0.001373, PTP, rank-0, rank-2, 0_2_-3334_3
Link, 0, MPI_LINK, 0.000028, 0.001401, 0.001373, PTP, rank-0, rank-4, 0_4_-3334_2
Link, 0, MPI_LINK, 0.000028, 0.001443, 0.001415, PTP, rank-0, rank-1, 0_1_-3334_4
Link, 0, MPI_LINK, 0.000028, 0.001543, 0.001515, PTP, rank-0, rank-8, 0_8_-3334_1
Link, 0, MPI_LINK, 0.001401, 0.002027, 0.000626, PTP, rank-2, rank-3, 2_3_-3334_5
Link, 0, MPI_LINK, 0.001443, 0.002069, 0.000626, PTP, rank-1, rank-2, 1_2_-3334_11
Link, 0, MPI_LINK, 0.001543, 0.002169, 0.000626, PTP, rank-8, rank-9, 8_9_-3334_12
Link, 0, MPI_LINK, 0.001401, 0.002228, 0.000827, PTP, rank-4, rank-5, 4_5_-3334_7
Link, 0, MPI_LINK, 0.001401, 0.002228, 0.000827, PTP, rank-4, rank-6, 4_6_-3334_6
Link, 0, MPI_LINK, 0.002228, 0.002854, 0.000626, PTP, rank-6, rank-7, 6_7_-3334_17
Link, 0, MPI_LINK, 0.001443, 0.002990, 0.001547, PTP, rank-1, rank-3, 1_3_-3334_10
Link, 0, MPI_LINK, 0.001443, 0.003194, 0.001751, PTP, rank-1, rank-9, 1_9_-3334_8
Link, 0, MPI_LINK, 0.001443, 0.003235, 0.001792, PTP, rank-1, rank-5, 1_5_-3334_9
Link, 0, MPI_LINK, 0.002069, 0.003616, 0.001547, PTP, rank-2, rank-3, 2_3_-3334_16
Link, 0, MPI_LINK, 0.002990, 0.003616, 0.000626, PTP, rank-3, rank-4, 3_4_-3334_18
Link, 0, MPI_LINK, 0.003194, 0.003820, 0.000626, PTP, rank-9, rank-0, 9_0_-3334_19
Link, 0, MPI_LINK, 0.003235, 0.004063, 0.000828, PTP, rank-5, rank-6, 5_6_-3334_21
Link, 0, MPI_LINK, 0.003235, 0.004063, 0.000828, PTP, rank-5, rank-7, 5_7_-3334_20
Link, 0, MPI_LINK, 0.002069, 0.004414, 0.002345, PTP, rank-2, rank-4, 2_4_-3334_15
Link, 0, MPI_LINK, 0.004063, 0.004689, 0.000626, PTP, rank-7, rank-8, 7_8_-3334_26
Link, 0, MPI_LINK, 0.002069, 0.004709, 0.002640, PTP, rank-2, rank-0, 2_0_-3334_13
Link, 0, MPI_LINK, 0.002069, 0.004877, 0.002808, PTP, rank-2, rank-6, 2_6_-3334_14
Link, 0, MPI_LINK, 0.003616, 0.005040, 0.001424, PTP, rank-3, rank-4, 3_4_-3334_25
Link, 0, MPI_LINK, 0.004414, 0.005040, 0.000626, PTP, rank-4, rank-5, 4_5_-3334_27
Link, 0, MPI_LINK, 0.004709, 0.005335, 0.000626, PTP, rank-0, rank-1, 0_1_-3334_28
Link, 0, MPI_LINK, 0.004877, 0.005705, 0.000828, PTP, rank-6, rank-7, 6_7_-3334_30
Link, 0, MPI_LINK, 0.004877, 0.005705, 0.000828, PTP, rank-6, rank-8, 6_8_-3334_29
Link, 0, MPI_LINK, 0.003616, 0.005738, 0.002122, PTP, rank-3, rank-5, 3_5_-3334_24
Link, 0, MPI_LINK, 0.003616, 0.006104, 0.002488, PTP, rank-3, rank-1, 3_1_-3334_22
Link, 0, MPI_LINK, 0.005705, 0.006331, 0.000626, PTP, rank-8, rank-9, 8_9_-3334_35
Link, 0, MPI_LINK, 0.005040, 0.006364, 0.001324, PTP, rank-4, rank-5, 4_5_-3334_34
Link, 0, MPI_LINK, 0.005738, 0.006364, 0.000626, PTP, rank-5, rank-6, 5_6_-3334_36
Link, 0, MPI_LINK, 0.003616, 0.006401, 0.002785, PTP, rank-3, rank-7, 3_7_-3334_23
Link, 0, MPI_LINK, 0.006104, 0.006730, 0.000626, PTP, rank-1, rank-2, 1_2_-3334_37
Link, 0, MPI_LINK, 0.005040, 0.007031, 0.001991, PTP, rank-4, rank-6, 4_6_-3334_33
Link, 0, MPI_LINK, 0.006401, 0.007229, 0.000828, PTP, rank-7, rank-8, 7_8_-3334_43
